,question,model_answer,true_answer
0,play baseball has a subevent of exercise,No,No
1,cleaning house has a subevent of file papers,Yes,Yes
2,hertz is part of kilohertz,Yes,Yes
3,machine is usually used for feeding yourself,No,No
4,junk is usually located at attic,Yes,Yes
5,education is capable of raise intelligence,Yes,Yes
6,having shower has a subevent of get wet,Yes,Yes
7,exercising usually causes float,No,No
8,right field is part of peru,No,No
9,ciudad juarez is part of italy,No,No
10,sculpture is usually located at space shuttle,No,No
11,stopping car has a prerequisite of depressing brake pedal,Yes,Yes
12,funny joke causes desire of howl with laughter,Yes,Yes
13,comb is usually used for dad,No,No
14,frederick is part of sleeve,No,No
15,improve yourself is motivated by a goal of lawyer,No,No
16,buying house usually causes debt,Yes,Yes
17,playing ball is usually used for getting to work,No,No
18,playing poker is usually used for keeping fit,No,No
19,pine nut is part of nut pine,Yes,Yes
20,electron gun is part of endive,No,No
21,merchant is usually located at shoes,No,No
22,cleaning clothes has a prerequisite of detergent,Yes,Yes
23,play tennis has a prerequisite of use tennis racket,Yes,Yes
24,stairs often has lots of sand,No,No
25,machine is usually located at laboratory,Yes,Yes
26,finding lost item has a prerequisite of search,Yes,Yes
27,tell story has a subevent of interruptions,Yes,Yes
28,counter is usually used for make social statement,No,No
29,wounds is usually located at house,No,No
30,playing sport is usually used for read,No,No
31,water main is part of water system,Yes,Yes
32,salad bowl is usually located at most cities,No,No
33,screwdriver is capable of turn screw,Yes,Yes
34,mankind is part of nature,Yes,Yes
35,listen has a last subevent of understand,Yes,Yes
36,marijuana has thc,Yes,Yes
37,chess move is part of campus,No,No
38,leaf is part of tree,Yes,Yes
39,school has a property of sad,No,No
40,looking through telescope is usually used for wiping asshole,No,No
41,skin is usually located at fruit,Yes,Yes
42,gulf of tehuantepec is part of mexico,Yes,Yes
43,play sports is motivated by a goal of reflective,No,No
44,blimps usually recieves an action of filled with helium,Yes,Yes
45,see favorite show has a prerequisite of have surfboard,No,No
46,communicating has a subevent of talk,Yes,Yes
47,thirsty person is usually located at edinburgh,No,No
48,spoon entails immerse,Yes,Yes
49,bathroom is usually used for storing wine,No,No
50,clinic is part of steam locomotive,No,No
51,kitchen is usually located at friend's house,Yes,Yes
52,every person has name,Yes,Yes
53,finding information has a subevent of read,Yes,Yes
54,read book is motivated by a goal of profit financially,No,No
55,painting is created by artist,Yes,Yes
56,attendees is usually located at corner,No,No
57,water plant has a prerequisite of get watering can,Yes,Yes
58,sardinia is part of mediterranean,Yes,Yes
59,fitting room is usually used for buying book,No,No
60,horniness causes desire of fiddle,No,No
61,politicians is usually located at show,No,No
62,sofa is usually located at door,No,No
63,whitehorse is part of yukon,Yes,Yes
64,money is usually located at bank,Yes,Yes
65,basel is part of nail,No,No
66,go for swim has a subevent of examining attic,No,No
67,chess pawn is usually located at street,No,No
68,postcards is usually located at jar,No,No
69,disrespect is the opposite of respect,Yes,Yes
70,paw is part of trunk,No,No
71,earring is usually used for decoration,Yes,Yes
72,notice entails perceive,Yes,Yes
73,tithes is usually located at church,Yes,Yes
74,sports has a property of harmful,No,No
75,most children desires play sports,Yes,Yes
76,fiddle has a subevent of sit,No,No
77,go to bed has a subevent of bend knees,No,No
78,fan is usually located at room,Yes,Yes
79,chinese restaurant is usually located at new york,Yes,Yes
80,coat button is part of atom,No,No
81,north platte is part of england,No,No
82,soup is usually located at table,No,No
83,going to play is usually used for businessperson,No,No
84,bus is capable of help child,No,No
85,antarctic ocean is part of fuselage,No,No
86,constituent is part of sentence,Yes,Yes
87,knife is capable of fail exams,No,No
88,alcohol is capable of make wine,No,No
89,sew has a subevent of prick finger,Yes,Yes
90,hock is part of china,No,No
91,playing basketball has a prerequisite of hoop,Yes,Yes
92,rotor blade is part of main rotor,Yes,Yes
93,fine print is part of contract,Yes,Yes
94,petrol is capable of piece together clues,No,No
95,pay by credit card has a prerequisite of get out credit card,Yes,Yes
96,go to work has a prerequisite of hit ball,No,No
97,test car has a subevent of excercise,No,No
98,feel sorry has a subevent of bladder emptied,No,No
99,curator is usually located at museum,Yes,Yes
100,politicians is usually located at washington d.c,Yes,Yes
101,prepuce is part of ghana,No,No
102,washing hands usually causes become scientist,No,No
103,paint picture has a prerequisite of weapon,No,No
104,waiting in line usually causes grow,No,No
105,play frisbee has a subevent of catch,Yes,Yes
106,auschwitz is part of poland,Yes,Yes
107,leftmost is the opposite of get to point,No,No
108,playing poker usually causes energy,No,No
109,taste sweet has a first subevent of enjoy,Yes,Yes
110,swimming is usually used for packing clothes for trip,No,No
111,hammer is usually used for breaking things,Yes,Yes
112,people has 2 wheels,No,No
113,mill is usually used for carrying luggage,No,No
114,cheese is usually located at plate,Yes,Yes
115,push button is usually used for detonate,Yes,Yes
116,asterion is part of tapestry,No,No
117,wait tables has a subevent of gripe about customers,Yes,Yes
118,read newspaper is motivated by a goal of informative,Yes,Yes
119,lawyers is usually located at courtroom,Yes,Yes
120,law of gravitation is part of organ,No,No
121,play lacrosse is motivated by a goal of have fun,Yes,Yes
122,running in marathon usually causes winning gold medal,Yes,Yes
123,humber is part of england,Yes,Yes
124,gram is part of dekagram,Yes,Yes
125,dubuque is part of algeria,No,No
126,agreeing with usually causes harmony,Yes,Yes
127,chalk is usually used for hurting,No,No
128,tools is usually located at lake,No,No
129,pope is defined as fermented grape juice,No,No
130,chancellorsville is part of virginia,Yes,Yes
131,harpsichord is usually located at jar,No,No
132,napkins is usually located at building,No,No
133,tell story has a subevent of would have sex,No,No
134,chainsaw is usually used for cooking food,No,No
135,clipboard is usually used for improve eyesight,No,No
136,theater stage is part of department of treasury,No,No
137,grease is usually located at mall,No,No
138,get money from has a first subevent of ask for,Yes,Yes
139,releasing energy is usually used for working,Yes,Yes
140,glass fronted display cabinet is usually located at beach,No,No
141,look better has a prerequisite of first open window,No,No
142,carnies is usually located at sewer,No,No
143,talk has a prerequisite of turn on radio,No,No
144,computers is usually located at space shuttle,Yes,Yes
145,using vcr has a subevent of watching movie,Yes,Yes
146,very cold water is capable of flow from spring,Yes,Yes
147,wash hands has a first subevent of buy new clothes,No,No
148,fencing is usually used for guiding people and animals,Yes,Yes
149,tickle has a first subevent of find to tickle,Yes,Yes
150,casing is part of wedding day,No,No
151,urinary tract is part of urogenital system,Yes,Yes
152,gambler is capable of doctor patients,No,No
153,visit museum has a subevent of start,No,No
154,play lacrosse has a first subevent of learn rules,Yes,Yes
155,fan is capable of lend money,No,No
156,blade is part of arctic ocean,No,No
157,getting wet is usually used for bathing,Yes,Yes
158,bright is the opposite of combustible,No,No
159,watch tv has a subevent of hear laughter,No,No
160,knee piece is part of body armor,Yes,Yes
161,affix is part of shoe,No,No
162,approach entails investigate,No,No
163,carpet is usually used for take pictures,No,No
164,pepper and salt is usually used for flavoring food,Yes,Yes
165,footlight is part of proscenium,Yes,Yes
166,destroying enemy has a subevent of use fine tooth comb,No,No
167,passengers is capable of assign homework,No,No
168,hear music has a subevent of tap foot,Yes,Yes
169,swimming is usually used for shoot cannonballs,No,No
170,africa is part of ship,No,No
171,loving else usually causes being short on money,No,No
172,full time is the opposite of reactive,No,No
173,farmer is capable of ring,No,No
174,earthquakes is capable of spread disease,No,No
175,feature is part of italy,No,No
176,dining room table is part of paris,No,No
177,shower switch is usually located at bathroom,Yes,Yes
178,opening bag of chips usually causes changing locations,No,No
179,pus is part of prophase,No,No
180,darling is part of australia,Yes,Yes
181,coat is usually located at closet,Yes,Yes
182,entertaining has a subevent of grab reins,No,No
183,ring binder is usually used for storing documents,Yes,Yes
184,old magazine is usually located at case,No,No
