,question,label
0,is machine a machine,Yes
1,is featherbed usually found in a bedroom,Yes
2,does limo have 2 doors,Yes
3,is pebble stone,Yes
4,does bus have wheels,Yes
5,is theatergoer an action that humans perform,Yes
6,is advisor administrative,Yes
7,is popcorn a snack,Yes
8,is gynecologist a single person  just one person,Yes
9,is truck large like a car,Yes
10,is lard consumable,Yes
11,does monitor use electricity,Yes
12,is tablet related to medicine,Yes
13,is surf a location,Yes
14,is showstopper specific to humans,Yes
15,is caricaturist a profession,Yes
16,can game be bought for cheap,Yes
17,do you find flashlight in homes,Yes
18,can camp be done outside,Yes
19,does lamp need to be plugged in,Yes
20,does strudel have frosting,Yes
21,sorry meant to ask is dealer a profession,Yes
22,is gripper in a specific room,Yes
23,does angleworm live by the water ,Yes
24,it bag something that one person can carry,Yes
25,does ambulance have an engine,Yes
26,is tsar alive,Yes
27,is taxi a vehicle,Yes
28,is broccoli a vegetable ,Yes
29,is pistol a gun,Yes
30,can you buy daggers in the store,Yes
31,does technician involve cell phones,Yes
32,is gang adults,Yes
33,is bike bigger than a chair,Yes
34,can marbles be contained in a bag ,Yes
35,is privates naturally occurring,Yes
36,is neighborhood a neighborhood,Yes
37,is deformation a negative concept,Yes
38,is lubrication found in cold places,Yes
39,is money commonly lost,Yes
40,is picture something you can carry in a wallet,Yes
41,is trout found in a home,Yes
42,is fishhook an object,Yes
43,is bachelorette alive,Yes
44,is mint something i can buy at a store,Yes
45,is coffee hot,Yes
46,do you buy lager in a store,Yes
47,is mixer common,Yes
48,does telephone have any buttons,Yes
49,is greenery for sale,Yes
50,is vagrant a person,Yes
51,is sickle bigger than a book,Yes
52,is photographer a hobby title,Yes
53,is snow a bad weather,Yes
54,is graffiti painted,Yes
55,is cashbox silver,Yes
56,is muffler round,Yes
57,is straightedge an object,Yes
58,is car big,Yes
59,is plow a physical tangible object you can possess,Yes
60,can belt be bought at the store,Yes
61,is magnet an object,Yes
62,does wool keep you warm,Yes
63,is immunologist something related to a specialized medical field,Yes
64,is amaretto manmade,Yes
65,is tomb made of cement,Yes
66,is echogram a tool,Yes
67,is lynx living,Yes
68,is looter found on earth,Yes
69,is liberty free,Yes
70,is puffball a plant,Yes
71,is superstructure a school or hospital,Yes
