,question,model_answer,true_answer
0,is artichoke a vegetable?,Yes,Yes
1,is chili an animal product?,No,No
2,is tomato a dessert?,No,No
3,is blueberry liquid?,No,No
4,does a van have wheels?,Yes,Yes
5,is punch alcoholic?,Yes,Yes
6,is rice a cold beverage?,No,No
7,is cinnamon meat?,No,No
8,is a microwave oven used for cooking?,Yes,Yes
9,is a oboe a woodwind instrument?,Yes,Yes
10,is ham a vegetable?,No,No
11,is lavender a vegetable?,Yes,No
12,does a snowboard have two wheels?,Yes,No
13,can a bed be found in a living room?,Yes,No
14,is a knife used for cooking?,Yes,Yes
15,is rice liquid?,No,No
16,does a mountain bike travel on land?,No,Yes
17,can a air conditioner be found in a bathroom?,No,Yes
18,does a sofa have legs?,Yes,Yes
19,is parmesan a cold beverage?,No,No
20,is fig a spice?,No,No
21,is a lyre a string instrument?,No,Yes
22,is crack pie an animal product?,No,Yes
23,is gouda dairy?,No,Yes
24,does a van have a steering wheel?,Yes,Yes
25,is sausage meat?,Yes,Yes
26,is muscat a fruit?,No,No
27,is a food processor used for cooking?,Yes,Yes
28,is jalapeno a cold beverage?,Yes,No
29,does a ambulance have a steering wheel?,No,Yes
30,is kiwi alcoholic?,No,No
31,does a satellite travel on water?,No,No
32,is ghee a spice?,No,No
33,is a pot used for cooking?,Yes,Yes
34,is ice tea alcoholic?,No,No
35,does a boat have a steering wheel?,Yes,Yes
36,can a dresser be found in a bedroom?,Yes,Yes
37,is rosemary a spice?,Yes,Yes
38,is cheddar alcoholic?,No,No
39,can a air conditioner be found in a kitchen?,No,Yes
40,does a dump truck travel on land?,Yes,Yes
41,is rum alcoholic?,Yes,Yes
42,is chili a vegetable?,No,Yes
43,is ice cream an animal product?,No,Yes
44,does a jeep have a motor?,Yes,Yes
45,is lettuce meat?,No,No
46,is ouzo a vegetable?,No,No
47,is papaya alcoholic?,No,No
48,is souffle dairy?,No,Yes
49,is pork dairy?,No,No
50,is a food processor used for sitting?,No,No
51,is asparagus a hot beverage?,No,No
52,is punch liquid?,No,Yes
53,is ice cream a hot beverage?,No,No
54,is a piano a brass instrument?,Yes,No
55,is chicken liver a grain?,No,No
56,is tomato alcoholic?,No,No
57,does a satellite travel in space?,Yes,Yes
58,is basil a cold beverage?,No,No
59,can a refrigerator be found in a bedroom?,No,No
60,is cumin dairy?,No,No
61,is cream cheese an animal product?,Yes,Yes
62,does a ship have a steering wheel?,Yes,Yes
63,is brie an animal product?,Yes,Yes
64,is short rib an animal product?,Yes,Yes
65,is zucchini a dessert?,No,No
66,does a taxi have a steering wheel?,Yes,Yes
67,is cinnamon a fruit?,No,No
68,does a spacecraft have a motor?,Yes,Yes
69,is a acoustic guitar a keyboard instrument?,No,No
70,does a train have a motor?,Yes,Yes
71,can a spoon be found in a kitchen?,Yes,Yes
72,is kava a cold beverage?,No,Yes
73,is broccoli dairy?,No,No
74,is thyme a spice?,No,Yes
75,is a armchair electrical?,No,No
76,is beef meat?,Yes,Yes
77,can a rug be found in a bathroom?,Yes,Yes
78,is pork an animal product?,Yes,Yes
79,is a refrigerator used for storage?,Yes,Yes
80,is cheddar dairy?,Yes,Yes
81,is black pepper a spice?,Yes,Yes
82,does a crane have a steering wheel?,No,Yes
83,does a dump truck have wheels?,Yes,Yes
84,is spinach a hot beverage?,No,No
85,is arrack liquid?,No,Yes
86,is pork alcoholic?,No,No
87,does a bus have a steering wheel?,Yes,Yes
88,does a dump truck have two wheels?,Yes,No
89,is citron liquid?,Yes,No
90,does a skateboard travel on water?,Yes,No
91,is grape a fruit?,Yes,Yes
92,is camembert a grain?,No,No
93,is bacon meat?,Yes,Yes
94,is a plate used for cooking?,Yes,No
95,is cottage cheese an animal product?,Yes,Yes
96,does a boat travel in space?,Yes,No
97,is fig an animal product?,Yes,No
98,does a tram have wheels?,Yes,Yes
99,does a taxi have wheels?,Yes,Yes
100,can a refrigerator be found in a kitchen?,Yes,Yes
101,does a bus fly?,Yes,No
102,is a bassoon a percussion instrument?,Yes,No
103,does a ambulance travel on land?,Yes,Yes
104,is a clarinet a woodwind instrument?,Yes,Yes
105,is steak a cold beverage?,No,No
106,is bread meat?,No,No
107,is wine a cold beverage?,Yes,Yes
108,is turmeric a fruit?,No,No
109,is cauliflower an animal product?,Yes,No
110,is ham liquid?,No,No
111,is a ukulele a percussion instrument?,Yes,No
112,is a sitar a string instrument?,Yes,Yes
113,is bacon an animal product?,Yes,Yes
114,can a chair be found in a living room?,Yes,Yes
115,does a car travel on water?,Yes,No
116,does a ship have a motor?,Yes,Yes
117,does a mountain bike carry one person?,No,Yes
118,can a air conditioner be found in a living room?,Yes,Yes
119,is chili a hot beverage?,Yes,No
120,is corn alcoholic?,No,No
121,does a car have a motor?,Yes,Yes
122,is punch a dessert?,No,No
123,is a saxophone a woodwind instrument?,Yes,No
124,does a tram fly?,Yes,No
125,is arrack a vegetable?,No,No
126,is grape an animal product?,No,No
127,is parmesan alcoholic?,No,No
128,is paprika meat?,No,No
129,is beer a cold beverage?,Yes,Yes
130,is a chair electrical?,Yes,No
131,is thyme alcoholic?,No,No
132,does a sports car have a steering wheel?,Yes,Yes
133,is a trombone a woodwind instrument?,Yes,No
134,can a desk be found in a bathroom?,No,No
135,is potato a cold beverage?,No,No
136,does a satellite have a motor?,Yes,Yes
137,is apple a fruit?,Yes,Yes
138,does a satellite fly?,Yes,Yes
139,is steak meat?,Yes,Yes
140,can a microwave oven be found in a kitchen?,Yes,Yes
141,does a motorcycle have four wheels?,Yes,No
142,is bergamot a spice?,No,Yes
143,is a piano a keyboard instrument?,Yes,Yes
144,is brie meat?,Yes,No
145,is a koto a keyboard instrument?,No,No
146,does a satellite carry one person?,No,No
147,is rosemary dairy?,No,No
148,is a bombardon a brass instrument?,No,Yes
149,is oregano liquid?,No,No
150,is ghee an animal product?,No,Yes
151,does a chair have legs?,Yes,Yes
152,is kale alcoholic?,No,No
153,does a ambulance carry one person?,Yes,No
154,is gouda a grain?,No,No
155,does a cab have a motor?,Yes,Yes
156,is a microwave oven used for sitting?,No,No
157,is lettuce an animal product?,No,No
158,is a violin a string instrument?,Yes,Yes
159,is berry a fruit?,Yes,Yes
160,can a battleship carry cargo?,Yes,Yes
161,is a psaltery a string instrument?,Yes,Yes
162,is a lamp used for cooking?,No,No
163,is a television electrical?,Yes,Yes
164,is cauliflower a vegetable?,Yes,Yes
165,does a shower have legs?,No,No
166,is apple a spice?,No,No
167,is a banjo a keyboard instrument?,No,No
168,does a cement mixer have wings?,No,No
169,is chocolate cake a grain?,No,No
170,does a bus have a motor?,Yes,Yes
171,is ouzo a cold beverage?,Yes,Yes
172,is shallot a grain?,No,No
173,is arrack alcoholic?,No,Yes
174,does a battleship travel on water?,Yes,Yes
175,is melon alcoholic?,Yes,No
176,does a cement mixer have a steering wheel?,No,Yes
177,is cheddar a hot beverage?,No,No
178,is ham an animal product?,Yes,Yes
179,does a jeep have wheels?,Yes,Yes
180,is tiramisu a cold beverage?,No,No
181,is scotch meat?,No,No
182,does a dump truck have a motor?,Yes,Yes
183,is kava liquid?,Yes,Yes
184,is quinoa a grain?,Yes,Yes
185,is a accordion a percussion instrument?,Yes,No
186,is cucumber liquid?,No,No
187,can a bed be found in a bedroom?,Yes,Yes
188,is broccoli a fruit?,No,No
189,is quinoa a cold beverage?,No,No
190,is radish a cold beverage?,No,No
191,is turkey dairy?,No,No
192,is a bongo a percussion instrument?,No,Yes
193,does a van have four wheels?,Yes,Yes
194,is quinoa a spice?,No,No
195,is chicken liver an animal product?,Yes,Yes
196,does a police car have wheels?,Yes,Yes
197,is carrot dairy?,No,No
198,is pepsi alcoholic?,Yes,No
199,is parmesan dairy?,No,Yes
200,can a surfboard carry cargo?,Yes,No
201,does a fire truck have a motor?,Yes,Yes
202,is potato an animal product?,Yes,No
203,is thyme meat?,No,No
204,is cherry dairy?,No,No
205,is cream an animal product?,No,Yes
206,is a refrigerator electrical?,Yes,Yes
207,is thyme a dessert?,No,No
208,is a clarinet a string instrument?,Yes,No
209,is chicken breast a fruit?,No,No
210,is carrot alcoholic?,No,No
211,is a towel used for cooking?,No,No
212,can a lamp be found in a kitchen?,Yes,Yes
213,is whiskey liquid?,Yes,Yes
214,is paprika dairy?,No,No
215,is gouda a dessert?,Yes,No
216,is a timbrel a percussion instrument?,Yes,Yes
217,does a car have a steering wheel?,Yes,Yes
218,is rib an animal product?,Yes,Yes
219,does a recycling truck have wheels?,Yes,Yes
220,is a forklift used for construction?,Yes,Yes
221,is a chair used for sitting?,Yes,Yes
222,is a spinet a woodwind instrument?,No,No
223,is cumin a spice?,Yes,Yes
224,is a oven used for cooking?,Yes,Yes
225,does a desk have legs?,No,Yes
226,is kale a dessert?,No,No
227,is saffron a fruit?,No,No
228,does a motorcycle have two wheels?,Yes,Yes
229,can a table be found in a bedroom?,Yes,Yes
230,is saffron a grain?,No,No
231,is a oven electrical?,Yes,Yes
232,is leek alcoholic?,No,No
233,is radish a hot beverage?,No,No
234,can a lamp be found in a living room?,Yes,Yes
235,can a knife be found in a bedroom?,No,No
236,does a wagon have four wheels?,Yes,Yes
237,is veal an animal product?,Yes,Yes
238,is mozzarella a cold beverage?,No,No
239,does a forklift have a motor?,Yes,Yes
240,is spinach a fruit?,No,No
241,is arrack an animal product?,No,No
242,is corn a cold beverage?,No,No
243,can a table be found in a living room?,Yes,Yes
244,does a skateboard have four wheels?,Yes,Yes
245,is paprika a spice?,Yes,Yes
246,does a van travel in space?,Yes,No
247,does a plate have legs?,No,No
248,is tiramisu an animal product?,No,Yes
249,is cabbage a dessert?,No,No
250,is cumin an animal product?,No,No
251,is rosemary a fruit?,No,No
252,does a helicopter fly?,Yes,Yes
253,is grape a vegetable?,No,No
254,does a airship fly?,Yes,Yes
255,can a armchair be found in a bedroom?,Yes,Yes
256,is a couch used for sitting?,Yes,Yes
257,does a forklift have a steering wheel?,Yes,Yes
258,is oregano a hot beverage?,No,No
259,does a scooter travel on land?,No,Yes
260,is lavender a fruit?,No,No
261,is carrot a cold beverage?,No,No
262,does a airplane have a motor?,Yes,Yes
263,is oregano a spice?,Yes,Yes
264,does a police car have wings?,No,No
265,is lettuce a grain?,Yes,No
266,is ouzo an animal product?,Yes,No
267,does a forklift travel on water?,No,No
268,can a dresser be found in a bathroom?,No,No
269,is potato dairy?,No,No
270,is cumin alcoholic?,No,No
271,is a electric guitar a string instrument?,Yes,Yes
272,is a trombone a brass instrument?,Yes,Yes
273,does a spacecraft carry one person?,No,No
274,is yogurt an animal product?,No,Yes
275,is a viola a string instrument?,Yes,Yes
276,is a plate electrical?,Yes,No
277,is cabbage a grain?,No,No
278,is rice a vegetable?,No,No
279,is gin a dessert?,No,No
280,is rosemary alcoholic?,No,No
281,is cream dairy?,Yes,Yes
282,does a motorcycle have a motor?,Yes,Yes
283,can a spatula be found in a kitchen?,Yes,Yes
284,is a bassoon a string instrument?,Yes,No
285,is sausage an animal product?,Yes,Yes
286,is a mandola a keyboard instrument?,No,No
287,is a tenoroon a woodwind instrument?,Yes,Yes
288,is tequila a cold beverage?,Yes,Yes
289,is a ocarina a string instrument?,No,No
290,is bacon a vegetable?,No,No
291,is melon a fruit?,Yes,Yes
292,is a dulcimer a string instrument?,Yes,Yes
293,is blueberry a fruit?,Yes,Yes
294,is papaya a vegetable?,No,No
295,does a satellite have a steering wheel?,No,No
296,does a skateboard travel in space?,No,No
297,can a stool be found in a bedroom?,Yes,No
298,does a police car have a motor?,Yes,Yes
299,is scotch an animal product?,No,No
300,does a boat have a motor?,Yes,Yes
301,is tea a hot beverage?,Yes,Yes
302,does a van have a motor?,Yes,Yes
303,is gin an animal product?,No,No
304,is broccoli a dessert?,No,No
305,can a submarine carry cargo?,Yes,Yes
306,can a blanket be found in a bedroom?,Yes,Yes
307,is onion a hot beverage?,No,No
308,is shallot liquid?,No,No
309,is brie a hot beverage?,No,No
310,is a television used for cooking?,No,No
311,is pepsi an animal product?,No,No
312,is jalapeno a vegetable?,No,Yes
313,can a spatula be found in a living room?,Yes,No
314,is anise dairy?,No,No
315,is avocado a cold beverage?,Yes,No
316,does a spoon have legs?,No,No
317,is chocolate cake an animal product?,No,Yes
318,is quinoa liquid?,No,No
319,is gin liquid?,Yes,Yes
