,question,model_answer,true_answer
0,Does a hen have wings?,Yes,Yes
1,Wings are part of a songbird's body.,Yes,Yes
2,Is a wing part of a swan's body?,Yes,Yes
3,Is a wing part of a ostrich's body?,Yes,Yes
4,Are wings part of a songbird's body?,Yes,Yes
5,Wing is part of a gull's body.,No,Yes
6,Does a macaw have wings?,Yes,Yes
7,A swan has wings.,Yes,Yes
8,Are wings part of a seabird's body?,Yes,Yes
9,Does a hummingbird have wings?,Yes,Yes
10,Are wings part of a ostrich's body?,No,Yes
11,A duck has wings.,Yes,Yes
12,A hummingbird has wings.,Yes,Yes
13,Wing is part of a roaster's body.,No,Yes
14,Are wings part of a falcon's body?,Yes,Yes
15,Wings are part of a peacock's body.,No,Yes
16,Wing is part of a crow's body.,Yes,Yes
17,Wings are part of a duck's body.,No,Yes
18,A goose has wings.,Yes,Yes
19,A parrot has wings.,Yes,Yes
20,Wing is part of a toco toucan's body.,No,Yes
21,Does a ostrich have wings?,Yes,Yes
22,Does a duck have wings?,Yes,Yes
23,Wing is part of a jay's body.,No,Yes
24,Wing is part of a songbird's body.,Yes,Yes
25,Are wings part of a goose's body?,No,Yes
26,Is a wing part of a bird's body?,Yes,Yes
27,Is a wing part of a gull's body?,Yes,Yes
28,A sparrow has wings.,Yes,Yes
29,Is a wing part of a turkey's body?,No,Yes
30,Are wings part of a eagle's body?,Yes,Yes
31,Are wings part of a hummingbird's body?,Yes,Yes
32,Is a wing part of a hummingbird's body?,Yes,Yes
33,A gull has wings.,Yes,Yes
34,Wings are part of a ostrich's body.,No,Yes
35,Wing is part of a hummingbird's body.,Yes,Yes
36,Wings are part of a eagle's body.,Yes,Yes
37,Does a vulture have wings?,Yes,Yes
38,Is a wing part of a flamingo's body?,Yes,Yes
39,Wings are part of a chicken's body.,Yes,Yes
40,Wing is part of a hen's body.,Yes,Yes
41,Is a wing part of a songbird's body?,Yes,Yes
42,Wing is part of a dove's body.,Yes,Yes
43,A roaster has wings.,No,Yes
44,Wings are part of a bald eagle's body.,No,Yes
45,Is a wing part of a vulture's body?,Yes,Yes
46,A toco toucan has wings.,No,Yes
47,Are wings part of a peacock's body?,No,Yes
48,Wing is part of a chicken's body.,Yes,Yes
49,Is a wing part of a goose's body?,No,Yes
50,Is a wing part of a roaster's body?,No,Yes
51,Wing is part of a vulture's body.,No,Yes
52,A albatrosses has wings.,Yes,Yes
53,A stork has wings.,Yes,Yes
54,Does a falcon have wings?,Yes,Yes
55,Wing is part of a parrot's body.,Yes,Yes
56,Does a turkey have wings?,Yes,Yes
57,A heron has wings.,Yes,Yes
58,A hen has wings.,Yes,Yes
59,Wings are part of a seabird's body.,Yes,Yes
60,Does a songbird have wings?,Yes,Yes
61,A crow has wings.,Yes,Yes
62,A dove has wings.,Yes,Yes
63,Are wings part of a gull's body?,No,Yes
64,A bald eagle has wings.,Yes,Yes
65,Is a wing part of a parrot's body?,Yes,Yes
66,A bird has wings.,Yes,Yes
67,Is a wing part of a bald eagle's body?,Yes,Yes
68,Are wings part of a dove's body?,Yes,Yes
69,Are wings part of a sparrow's body?,No,Yes
70,A ostrich has wings.,Yes,Yes
71,Does a bald eagle have wings?,Yes,Yes
72,Wings are part of a turkey's body.,No,Yes
73,Wings are part of a gull's body.,No,Yes
74,Is a wing part of a falcon's body?,Yes,Yes
75,A turkey has wings.,Yes,Yes
76,Wings are part of a bird's body.,Yes,Yes
77,A jay has wings.,Yes,Yes
78,Does a heron have wings?,Yes,Yes
79,Wings are part of a falcon's body.,No,Yes
80,Does a swan have wings?,Yes,Yes
81,Does a owl have wings?,Yes,Yes
82,Wing is part of a stork's body.,No,Yes
83,A seabird has wings.,Yes,Yes
84,Does a albatrosses have wings?,Yes,Yes
85,Is a wing part of a peacock's body?,No,Yes
86,Does a gull have wings?,Yes,Yes
87,Are wings part of a swan's body?,Yes,Yes
88,Is a wing part of a sparrow's body?,Yes,Yes
89,Wing is part of a macaw's body.,No,Yes
90,Wing is part of a falcon's body.,Yes,Yes
91,Are wings part of a albatrosses's body?,No,Yes
92,Wing is part of a turkey's body.,No,Yes
93,Wing is part of a eagle's body.,Yes,Yes
94,Is a wing part of a macaw's body?,Yes,Yes
95,Is a wing part of a eagle's body?,Yes,Yes
96,Does a peacock have wings?,Yes,Yes
97,Is a wing part of a wader's body?,Yes,Yes
98,Are wings part of a pigeon's body?,No,Yes
99,Does a bird have wings?,Yes,Yes
100,Are wings part of a vulture's body?,No,Yes
101,A songbird has wings.,Yes,Yes
102,Is a wing part of a albatrosses's body?,No,Yes
103,Are wings part of a parrot's body?,No,Yes
104,Does a chicken have wings?,Yes,Yes
105,Wings are part of a owl's body.,No,Yes
106,Wings are part of a jay's body.,No,Yes
107,A vulture has wings.,Yes,Yes
108,Are wings part of a heron's body?,No,Yes
109,Does a sparrow have wings?,Yes,Yes
110,Are wings part of a wader's body?,Yes,Yes
111,Wing is part of a wader's body.,Yes,Yes
112,Is a wing part of a duck's body?,Yes,Yes
113,A falcon has wings.,Yes,Yes
114,Are wings part of a jay's body?,No,Yes
115,A owl has wings.,Yes,Yes
116,Are wings part of a macaw's body?,No,Yes
117,Wing is part of a ostrich's body.,Yes,Yes
118,Are wings part of a hen's body?,No,Yes
119,Wing is part of a bald eagle's body.,No,Yes
120,Wings are part of a wader's body.,Yes,Yes
121,Is a wing part of a stork's body?,No,Yes
122,Wing is part of a albatrosses's body.,No,Yes
