,question,label
0,carrots has particular taste,Yes
1,drain basket is part of sink,Yes
2,edmonton is part of alberta,Yes
3,only one golf ball is usually located at suface of moon,Yes
4,brain is usually located at person,Yes
5,bureau is usually located at bedroom,Yes
6,trash is usually located at dumpster,Yes
7,getting warm usually causes sweating,Yes
8,do crossword puzzle has a prerequisite of buy newspaper,Yes
9,alcohol is usually located at chemistry lab,Yes
10,base is part of box,Yes
11,taking break has a prerequisite of stopping current activity,Yes
12,athlete is capable of break record,Yes
13,rule usually recieves an action of broken,Yes
14,staircase is usually located at building,Yes
15,shoes is usually located at bed,Yes
16,palatine is part of seven hills of rome,Yes
17,domain name system has a property of abbreviated to'dns,Yes
18,get has a prerequisite of give,Yes
19,heart is part of circulatory system,Yes
20,learning has a prerequisite of open mind,Yes
21,interstate highway is usually used for drive upon,Yes
22,beet is part of beetroot,Yes
23,become more clean has a subevent of smell better,Yes
24,ball is usually located at closet,Yes
25,typing has a subevent of make mistake,Yes
26,capital is part of column,Yes
27,paper usually recieves an action of burned,Yes
28,planning vacation has a subevent of call travel agent,Yes
29,beer is usually used for get drunk,Yes
30,bladder sphincter is part of urinary bladder,Yes
31,velvet has a property of soft,Yes
32,newspaper usually recieves an action of read,Yes
33,programmer is capable of program ai,Yes
34,pencil is usually used for write story,Yes
35,superset is the opposite of subset,Yes
36,standing room is part of stadium,Yes
37,highways is usually used for cars to drive on,Yes
38,tanks is usually located at war,Yes
39,communicating usually causes misunderstandings,Yes
40,truck is capable of pull trailer,Yes
41,have examination has a prerequisite of make doctor's appointment,Yes
42,song is created by songwriter,Yes
43,bagpipes is usually located at scottland,Yes
44,learning new usually causes become smarter,Yes
45,eraser holder is usually used for hold eraser,Yes
46,person desires vacation,Yes
47,atheophobia is the opposite of religiophobia,Yes
48,farmers is capable of gather crops,Yes
49,memorising usually causes remembering things,Yes
50,balls is usually located at sporting event,Yes
51,moving car has a prerequisite of strength,Yes
52,couples is capable of enjoy sex,Yes
53,history is the opposite of future,Yes
54,carthage is part of phoenicia,Yes
55,food is usually used for energy,Yes
56,pray has a prerequisite of repentent,Yes
57,aluminum cans usually recieves an action of recycled,Yes
58,bowl is usually used for hold beans,Yes
59,bucket is usually used for hold,Yes
60,happy is distinct from sad,Yes
61,dust is usually located at fridge,Yes
62,thumbs down is the opposite of thumbs up,Yes
63,take shower has a last subevent of dry off,Yes
64,venice is part of veneto,Yes
65,buying presents usually causes consumer debt,Yes
66,buying has a subevent of get extra,Yes
67,investor is capable of save money,Yes
68,falling has a subevent of get hurt,Yes
69,working has a subevent of type on keyboard,Yes
70,fighting war has a prerequisite of soldiers,Yes
71,go to opera is motivated by a goal of hear music,Yes
72,raphe is part of scrotum,Yes
73,cooperstown is part of new york,Yes
74,joining army usually causes fighting in war,Yes
75,do housework has a subevent of wash windows,Yes
76,ball is usually located at toy store,Yes
77,reading newspaper usually causes becoming informed,Yes
78,wage war has a subevent of attack enemy,Yes
79,do exercises is motivated by a goal of getting fat,Yes
80,traveling has a subevent of planning changes of location,Yes
81,kanchenjunga is part of tibet,Yes
82,perm is part of russia,Yes
83,ulnar vein is part of forearm,Yes
84,act is part of opera,Yes
85,sympathetic is the opposite of unsympathetic,Yes
86,go to bed has a prerequisite of sleep,Yes
87,bleachers is usually located at sporting event,Yes
88,jumping up and down has a subevent of fall,Yes
89,socialize is motivated by a goal of make friends,Yes
90,cochlea is part of inner ear,Yes
91,eye is usually used for viewing,Yes
92,exclude is the opposite of include,Yes
93,apprentice is capable of master skill,Yes
94,rest is motivated by a goal of regenerate,Yes
95,electric razor is usually used for trimming beard,Yes
96,succeed is the opposite of fail,Yes
97,keyboard is usually located at desk,Yes
98,grozny is part of russia,Yes
99,heating element is part of electric heater,Yes
100,lux is part of phot,Yes
101,walk is motivated by a goal of change locations,Yes
102,lighting fire is usually used for cooking food,Yes
103,person desires talent,Yes
104,pit is usually used for catch animals,Yes
