,question,model_answer,true_answer
0,Scales are part of a cuttlefish's body.,Yes,Yes
1,A salmon has scales.,No,Yes
2,Scales are part of a buri's body.,No,Yes
3,A bass has scales.,Yes,Yes
4,Scales are part of a eel's body.,No,Yes
5,Does a tuna have scales?,Yes,Yes
6,Are scales part of a knifefish's body?,No,Yes
7,Does a gar have scales?,No,Yes
8,A herring has scales.,Yes,Yes
9,Are scales part of a cuttlefish's body?,No,Yes
10,Does a knifefish have scales?,Yes,Yes
11,Are scales part of a salmon's body?,No,Yes
12,Does a sea bream have scales?,Yes,Yes
13,Does a fish have scales?,Yes,Yes
14,Are scales part of a buri's body?,No,Yes
15,Scales are part of a barracuda's body.,No,Yes
16,Scales are part of a bass's body.,Yes,Yes
17,A codfish has scales.,No,Yes
18,Are scales part of a tuna's body?,No,Yes
19,Are scales part of a fish's body?,No,Yes
20,Does a cuttlefish have scales?,Yes,Yes
21,A bluefish has scales.,Yes,Yes
22,Are scales part of a kingfisher's body?,No,Yes
23,A shark has scales.,Yes,Yes
24,Scales are part of a octupus's body.,No,Yes
25,Scales are part of a sea bream's body.,No,Yes
26,Does a shark have scales?,Yes,Yes
27,A eel has scales.,Yes,Yes
28,Scales are part of a bluefish's body.,No,Yes
29,A gar has scales.,Yes,Yes
30,Are scales part of a dolphin's body?,No,Yes
31,A octupus has scales.,Yes,Yes
32,Does a salmon have scales?,Yes,Yes
33,Are scales part of a shark's body?,No,Yes
34,Does a piranha have scales?,No,Yes
35,Scales are part of a piranha's body.,No,Yes
36,Are scales part of a eel's body?,No,Yes
37,Does a bluefish have scales?,Yes,Yes
38,Does a octupus have scales?,No,Yes
39,Are scales part of a codfish's body?,No,Yes
40,A barracuda has scales.,No,Yes
41,Does a herring have scales?,No,Yes
42,A fish has scales.,Yes,Yes
43,A cuttlefish has scales.,Yes,Yes
44,Does a codfish have scales?,Yes,Yes
45,Does a eel have scales?,No,Yes
46,Are scales part of a bass's body?,No,Yes
47,A tuna has scales.,Yes,Yes
48,Does a kingfisher have scales?,Yes,Yes
49,Are scales part of a piranha's body?,No,Yes
50,Scales are part of a dolphin's body.,No,Yes
51,Does a dolphin have scales?,No,Yes
52,Does a barracuda have scales?,No,Yes
53,A dolphin has scales.,Yes,Yes
54,Scales are part of a salmon's body.,No,Yes
55,Are scales part of a octupus's body?,No,Yes
56,Scales are part of a kingfisher's body.,No,Yes
57,Are scales part of a barracuda's body?,No,Yes
58,A piranha has scales.,No,Yes
59,Scales are part of a knifefish's body.,No,Yes
60,A sea bream has scales.,Yes,Yes
61,Are scales part of a bluefish's body?,No,Yes
62,Are scales part of a kingfisher's body?,No,Yes
63,A kingfisher has scales.,No,Yes
64,A buri has scales.,No,Yes
65,Scales are part of a fish's body.,No,Yes
66,Scales are part of a codfish's body.,No,Yes
67,Scales are part of a gar's body.,Yes,Yes
68,Are scales part of a gar's body?,No,Yes
69,Does a buri have scales?,No,Yes
70,Does a bass have scales?,No,Yes
71,Are scales part of a sea bream's body?,No,Yes
72,Does a kingfisher have scales?,Yes,Yes
73,Scales are part of a herring's body.,No,Yes
74,Scales are part of a tuna's body.,No,Yes
75,Scales are part of a kingfisher's body.,No,Yes
76,A kingfisher has scales.,No,Yes
77,A knifefish has scales.,No,Yes
78,Are scales part of a herring's body?,No,Yes
79,Scales are part of a shark's body.,No,Yes
