,question,label
0,is staffer a paid job,Yes
1,is manicotti spicyhot,Yes
2,is mixologist a job,Yes
3,is stepmother a stepsomething,Yes
4,is arch an object,Yes
5,so you can usually buy torchlight at a hardware store,Yes
6,is fruit used in the garden,Yes
7,is cinematographer well paid,Yes
8,can thumbtack be found in a school,Yes
9,is peppers usually one color,Yes
10,is hunk a living thing,Yes
11,can landmine kill someone with one shot,Yes
12,is mug metal,Yes
13,does blood smell,Yes
14,is door common,Yes
15,is hose a garden tool,Yes
16,do humans often see tumbler in person,Yes
17,is carpetfish alive,Yes
18,does sandblaster make noise,Yes
19,is thrower found on earth,Yes
20,can you find fridge in the home,Yes
21,is adhesion found inside,Yes
22,is honeydew physical,Yes
23,is leftovers italian food,Yes
24,is pizza shaped like a triangle,Yes
25,does writer use numbers,Yes
26,does truck require fuel,Yes
27,is oil considered a lubricant,Yes
28,does congregation have different colors,Yes
29,is facility common,Yes
30,is soybean leafy,Yes
31,is garb physical object,Yes
32,can a air conditioner be found in a bedroom,Yes
33,is footstool more commonly found in one room of a house then the others ,Yes
34,is ashcan solid,Yes
35,is prosthetics made of plastic,Yes
36,is hostel made of wood,Yes
37,is demolition dangerous,Yes
38,is fingers part of humans or animals,Yes
39,is toy something a child would play with,Yes
40,can you use bullet somehow,Yes
41,is barn a structure,Yes
42,is videotape black,Yes
43,is syllabus something americans would do,Yes
44,is tenet an idea,Yes
45,is gasoline a fuel,Yes
46,does fragment come in multiples,Yes
47,is bumper an object,Yes
48,can i buy cheese at a supermarket,Yes
49,is appointee found on the ground,Yes
50,is hill used outside,Yes
51,does author involve writing,Yes
52,is eyes a human body part,Yes
53,is nutcrackers painted,Yes
54,is appetizer made from more than one ingredient ie salad,Yes
55,is email exclusive to people,Yes
56,is gin alcoholic,Yes
57,is washerwoman a specific role,Yes
58,is building man made,Yes
59,is revolver man made,Yes
60,is moneybag an object,Yes
61,is exterminator often done outdoors,Yes
62,is stethoscope a physical object,Yes
63,is decay rotten,Yes
64,does worker involve working,Yes
65,does baby sit on the floor,Yes
66,is smock soft,Yes
67,is poetess a person,Yes
68,is pentagon a government building,Yes
69,is dance an activity,Yes
70,is heat man made,Yes
71,is bike a common item,Yes
72,is arm a body part,Yes
73,can you buy lifeboat at a store,Yes
74,do you see hailstone in the cold area like poles ,Yes
75,can carrot be considered food,Yes
76,is airport bigger than a bus,Yes
77,is firework something normally found outside,Yes
78,does typist talk,Yes
79,does wetland exist in the us,Yes
80,does camera make noise,Yes
81,is tenet a common idea,Yes
82,is singing a common concept,Yes
83,does condor have leggs,Yes
84,is spoon made of silver,Yes
85,is politician a man,Yes
86,is a psaltery a string instrument,Yes
87,is overeater human,Yes
88,will mammal attack a human,Yes
89,can you buy grate online,Yes
90,can i pick wood up with one hand,Yes
91,is musket used outside,Yes
92,can you find cave in nature,Yes
93,is antenna made out of metal,Yes
94,does a train have  a motor,Yes
95,is puppy a living thing,Yes
96,is teenager alive,Yes
97,does roots kill other plants,Yes
98,is plant found in my yard,Yes
99,is obsidian useful,Yes
100,is heirloom an article of clothing,Yes
101,is transmission expensive,Yes
102,is inquisitor heavy,Yes
103,is mole in the ground,Yes
104,is school bigger than a person,Yes
105,is canal found outside,Yes
106,can lightweight be man or woman,Yes
107,is flask made of metal,Yes
108,is ledge big,Yes
109,is scallop edible,Yes
110,is erotica common,Yes
111,can hostel be touched,Yes
112,is pastry cold,Yes
113,is peach an object,Yes
114,is taskmaster a business person,Yes
115,is pimp living,Yes
116,does drums make noise,Yes
117,is nuclei commonly found in the ocean,Yes
118,is steak a specific color,Yes
119,is boat a form of transportation,Yes
120,is hoe a tool,Yes
121,does dockworker involve a person getting wet in any way,Yes
122,is herb an herb,Yes
123,is gazelle alive,Yes
124,is cigar round,Yes
125,is kindle some kind of device,Yes
126,does broiler come in different colors,Yes
127,does waterspout fit in someones hand,Yes
128,is pimp a person,Yes
129,is opiate solid,Yes
130,does violinist fall into the category of arts,Yes
131,is air found everywhere,Yes
132,is constituent a human,Yes
133,is enchilada found in a home,Yes
134,is cutter dangerous to use,Yes
135,is geode an object that you can touch,Yes
136,that cant be sometimes is vegetable commonly found in most supermarkets ,Yes
137,is insurance expensive,Yes
138,is lie perjury,Yes
139,can redcoat be easily moved,Yes
140,is wineglass expensive,Yes
141,is fridge used to store things inside it,Yes
142,is wallflower found by water,Yes
143,can i use facsimile in a printer,Yes
144,is dishwasher used to wash dishes,Yes
145,is glass clear,Yes
146,is lotto a solid,Yes
147,is glasses related to eyes,Yes
148,does telegrapher have a color,Yes
149,is auntie helpful,Yes
150,is store a place,Yes
151,is manager alive,Yes
152,is steel hard,Yes
153,does grandma live in the usa,Yes
154,is couch made by man,Yes
155,is steak meat ,Yes
156,is buckminster a title of a person,Yes
157,does politician have a head,Yes
158,is chips consumable,Yes
159,is boozer related to personality,Yes
160,is mushroom a physical object ,Yes
161,is portfolio tangible,Yes
162,can itinerary be used in more than one situation,Yes
163,does caravan come in different colors,Yes
164,is biologist a speciality,Yes
165,is mime good looking,Yes
166,is sleigh durable,Yes
167,is pottery inside,Yes
168,is dirty a feeling,Yes
169,can you find clubwoman on earth,Yes
170,does a person use chairlift a lot during the day,Yes
171,would someone use dumbbell in their house,Yes
172,is sun always one color,Yes
173,does poop smell,Yes
174,is microprobe in a building,Yes
175,can handiwork be found all around the world,Yes
176,does arachnids involve insects,Yes
177,is pendant an object,Yes
178,can glass be easily broken ,Yes
179,is supplier one word,Yes
180,does reporter relate to sports,Yes
181,is typewriter a tool,Yes
182,does oatmeal come in a bag ,Yes
183,is plywood man made,Yes
184,does cutlet come in different flavors,Yes
185,is face found on earth,Yes
186,is patient a person ,Yes
187,is souvenir expensive,Yes
188,is stars beautiful to look at,Yes
189,is building a solid,Yes
190,is antibiotics an object,Yes
191,is musketeer lucrative,Yes
192,is playoff something you celebrate,Yes
193,is woman an organism,Yes
194,can squad be done outdoors,Yes
195,do men do fight more than women,Yes
196,is corkscrew necessary to make something else function,Yes
197,is furnishings heavy,Yes
198,is play something people are happy to do,Yes
199,can employer wear clothes,Yes
200,is percussion has cymbals,Yes
201,does bamboo grow in a body of water,Yes
202,is kitchen bigger that a human,Yes
203,is goddaughter a gendersex category,Yes
204,is cherry a fruit,Yes
205,is bagpipes mucsical instrument,Yes
206,is toga for entertainment,Yes
207,is fighting an activity,Yes
208,is bellhop a profession ,Yes
209,is driveway big,Yes
210,can binoculars be moved,Yes
211,is game a toy,Yes
212,does a ambulance travel on land,Yes
213,can packet be seen in a home,Yes
214,do you need oxygen to survive,Yes
215,can subcontractor wear shoes,Yes
216,is obsidian in limited places,Yes
217,is vest for both men and women,Yes
218,is mime a good man,Yes
219,is fireman more common for a man to do this,Yes
220,does singing involve entertainment,Yes
221,is client a man,Yes
222,is refugee an adult,Yes
223,is lungs related human organ,Yes
224,is rose sent as a gift for women sometimes,Yes
225,does student wear a uniform,Yes
226,is toy used by people of all ages,Yes
227,is rhinoceros cute,Yes
228,is pantyhose man made,Yes
229,is joker a woman,Yes
230,is tablet related to electronics,Yes
231,is saber an object,Yes
232,can putty be square,Yes
233,is garage found inside houses,Yes
234,does dowry cost money,Yes
235,does bikini has any colors,Yes
236,can artist be used outside,Yes
237,is doctor a human,Yes
238,is pedestrian old,Yes
239,is fungus green,Yes
240,can a train carry cargo,Yes
241,does prince relate to royalty,Yes
242,is antiques popular,Yes
243,does confidant work,Yes
244,is leotard something you can hold in your hand,Yes
245,is whirlybird bigger than a microwave,Yes
246,can jeans be picked up,Yes
247,is sun high in the sky,Yes
248,does shanty have a roof,Yes
249,is commodity something you can buy at a store,Yes
250,is goop green,Yes
251,do you wear sleeve on the top half of your body,Yes
252,does car require fuel of some type,Yes
253,does ice cool food,Yes
254,is slacks an object,Yes
255,is brick an object,Yes
256,is helmet manmade,Yes
257,does mist change shape,Yes
258,is chorizo a meat,Yes
259,is lemon grass a spice,Yes
260,is things found in the home,Yes
261,is waitress a person,Yes
262,is teacher a person,Yes
263,is ball used inside of a house,Yes
264,is photographer a person,Yes
265,is methane a part of nature,Yes
266,is cheesecake a dessert,Yes
267,is gooseberry edible,Yes
268,is ground one word,Yes
269,does stadium have a roof,Yes
270,is townhall a place,Yes
271,is microscope man made,Yes
272,is dishwater a noun,Yes
273,is niacin a vitamin,Yes
274,is wedding fun,Yes
275,is lodgings a building,Yes
276,is furniture made by humans,Yes
277,is slush liquid,Yes
278,is cash useful,Yes
279,is seismologist done outdoors,Yes
280,is tuxedo expensive,Yes
281,is radio an object,Yes
282,is residency usually positive,Yes
283,is sherbet a physical object,Yes
284,is key small like a cell phone,Yes
285,can ashtray be given as a gift,Yes
286,does treebark have a practical use,Yes
287,does home serve a specific purpose,Yes
288,is hurdle an object,Yes
289,is campground a location,Yes
290,is seniors usually a bunch of old men,Yes
291,can toddler be a child,Yes
292,is lightbulb made of glass,Yes
293,is traitor a spouse,Yes
294,is backwash tangible,Yes
295,is adult living,Yes
296,does scroll serve a purpose,Yes
297,is pug alive,Yes
298,is pain something people feel,Yes
299,is zucchini a vegetable,Yes
300,is pepsi liquid,Yes
301,is hills part of the landscape,Yes
302,is sanitarium made of wood,Yes
303,is orthodontist a type of dentist,Yes
304,is bakeshop man made,Yes
305,is doctor a profession you could do from your own house,Yes
306,is table used at living room,Yes
307,is governor related to humans,Yes
308,is biteplate used in dentistry,Yes
309,can watch fit in your pocket,Yes
310,is border outside,Yes
311,is kernel edible,Yes
312,can trash be found in a kitchen,Yes
313,does handcart have a distinct shape,Yes
314,is introducer alive,Yes
315,is snuffbox found in a persons home ,Yes
316,is human related to an employee,Yes
317,so it is a spirit  is mimosa mixed,Yes
318,is percolator an object,Yes
319,can you use controller with a videogame console,Yes
320,is kindergartner a male,Yes
321,is lightning a big phenomenon ,Yes
322,is candy man made,Yes
323,is soldier a dangerous job,Yes
324,does wool keep you warm,Yes
325,is balls used in sports,Yes
326,is outpatient a person,Yes
327,do i use mousetrap at home,Yes
328,is handbag visible,Yes
329,is confection a snack,Yes
330,is teamster an easy to acquire profession,Yes
331,is plant a veg,Yes
332,is dishtowel man made,Yes
333,is son a specific person,Yes
334,is organ electronic,Yes
335,can liqueur be found at a store,Yes
336,does alarmclock need batteries,Yes
337,is juice edible,Yes
338,is shoelace man made,Yes
339,is lamppost attached to the ground,Yes
340,is pizza small,Yes
341,is love more of an abstract concept,Yes
342,is dribbler a hobby,Yes
343,is empanada sweet,Yes
344,is rope to pull things,Yes
345,can you find luggage at home,Yes
346,is crossbar an object,Yes
347,is courtroom an entire building,Yes
348,is sportswoman a person ,Yes
349,is chloroform a chemical,Yes
350,does shirt contain fabric,Yes
351,does statesman involve working with other people ,Yes
352,is salesman a person,Yes
353,is teaching a profession,Yes
354,is girlfriend for companionship,Yes
355,does dough have a physical shape,Yes
356,is clarinetist an occupation,Yes
357,is currency an object,Yes
358,can retailer be a profession,Yes
359,can you light fire on fire ,Yes
360,is stem related to plant,Yes
361,is salad organic,Yes
362,does chaps have different colors,Yes
363,is keyhole smaller than a housecat,Yes
364,is label affordable,Yes
365,is cranberry something you can hold,Yes
366,is motor for a vehicle,Yes
367,does technician have to do with office workwhite collar job,Yes
368,does microscope involve lab,Yes
369,does tv have a screen,Yes
370,is sealskin soft,Yes
371,does housedress normally exist in a bedroom,Yes
372,does school carry more than 5 people,Yes
373,is villain a role,Yes
374,is martini a liquid,Yes
375,is bedroom a placedestination,Yes
376,is astronaut found in space,Yes
377,is liner made of plastic,Yes
378,does a aircraft have  a motor,Yes
379,is pimento edible,Yes
380,is jewelry metal,Yes
381,is camera used inside,Yes
382,does woodpecker grow,Yes
383,does cutter make holes,Yes
384,is sock an object,Yes
385,is confectioner a career title,Yes
386,is table heavy,Yes
387,is carryall an accessory of sorts,Yes
388,does aircraft have different types,Yes
389,is marcher enjoyable,Yes
390,is exhibitionist an action done by a human,Yes
391,is minivan a vehicle,Yes
392,can you hold portfolio with one hand,Yes
393,is television found in a house,Yes
394,is appendix alive,Yes
395,is airplane a manmade object,Yes
396,is bisque a physical object ,Yes
397,is traveler usually a man,Yes
398,is continent has any colors,Yes
399,is jawbreaker found outside,Yes
400,is pharmacist a person,Yes
401,does satinwood have to do with the trunk of a tree,Yes
402,is crevice outside,Yes
403,is referee sports related,Yes
404,is tank a man made object ,Yes
405,got me stumped does physiologist pertain to humans,Yes
406,is sideburns found on earth,Yes
407,is oxygen an element,Yes
408,is perspiration a bodily function,Yes
409,do people give chessboard as a gift,Yes
410,is man a human,Yes
411,is hammer used to smash things,Yes
412,is pony found on a farm,Yes
413,is cabin made of wood ,Yes
414,is lobe part of the face,Yes
415,is table an object,Yes
416,is fruit tasty,Yes
417,is funnel easy to get,Yes
418,can you take autograph with you places,Yes
419,is dancer a specific occupation ,Yes
420,is bedframe hard,Yes
421,is shrub a shrub,Yes
422,is blossom type of plants,Yes
423,is squire a human,Yes
424,would you use repellant to kill vermin,Yes
425,is busboy a title,Yes
426,is checklist used in cooking,Yes
427,is knife a household item,Yes
428,does cart come in many sizes,Yes
429,is octopi red,Yes
430,is watermelon a melon,Yes
431,would a child know what figurine is,Yes
432,is spectrogram has any shape,Yes
433,is chinchilla living,Yes
434,is fork made of metal,Yes
435,is heartthrob living,Yes
436,is carryall an object,Yes
437,is paint found on the walls,Yes
438,is booger gross,Yes
439,can a stool be found in a living room,Yes
440,is grape purple,Yes
441,does shellfish lay eggs,Yes
442,would you find soap in a bathroom,Yes
443,can i take pencil to work,Yes
444,is orange an object,Yes
445,is chorizo meat,Yes
446,does tapeworm have smooth skin,Yes
447,is eraser smaller than the size of a baseball,Yes
448,does orthopedist work with women,Yes
449,is moon found outside of earth,Yes
450,does print come in different sizes,Yes
451,is lye smaller than a breadbox,Yes
452,does childbed stand on its own,Yes
453,is confinement a thought,Yes
454,is sweatbox smaller than a fridge,Yes
455,is bank business related,Yes
456,is tv something located inside,Yes
457,is ruby a rare object,Yes
458,is load made out of wood,Yes
459,is piggy always outside,Yes
460,does tipper have to do with earning money,Yes
461,is milk something to drink,Yes
462,is sawmill expensive,Yes
463,does car have wheels,Yes
464,is driver related to driving,Yes
465,is sandwich made of bread,Yes
466,can i buy shoes in a store,Yes
467,does cookbook have a color,Yes
468,do you have to clean backpack often,Yes
469,is pen a writing tool,Yes
470,does menthol smell,Yes
471,is mixer common,Yes
472,is walnut brown,Yes
473,is flamethrower a physical object,Yes
474,is pace found outside,Yes
475,is neckerchief soft,Yes
476,do you buy dirt at a store,Yes
477,is oilskin something used vs just existing,Yes
478,is blaster manmade,Yes
479,is sea water,Yes
480,is soap used to clean things,Yes
481,is desk made of metal,Yes
482,is detergent a cleaning product,Yes
483,can i find trough in the us,Yes
484,is temple man made,Yes
485,does dachshund lay on your floor and look at you sometimes like you are crazy,Yes
486,is asteroid in outer space,Yes
487,is face tangible,Yes
488,is iron a mineral,Yes
489,is bunny soft,Yes
490,is fan a thing,Yes
491,is dishwater found in the kitchen,Yes
492,is warplane typically black,Yes
493,is icing under 1 pound,Yes
494,is school a building,Yes
495,is bonnet a specific kind of hat,Yes
496,is speaker loud,Yes
497,is warlord a male,Yes
498,does jammer come in a box,Yes
499,is constable living,Yes
500,is dung something found on land,Yes
501,is chimp alive,Yes
502,is leftovers a food,Yes
503,is laborer inside a building ,Yes
504,is president a profession,Yes
505,can you use woodwork outside,Yes
506,is temple relgion base,Yes
507,can you pick divider up,Yes
508,is sawmill larger than a car,Yes
509,is diary less than 50 dollars,Yes
510,is press heavy,Yes
511,is foreigner alive,Yes
512,is cage metal,Yes
513,is axle a type of transportation,Yes
514,is knife made of metal,Yes
515,is helicopter bigger then a car,Yes
516,is pathologist a person,Yes
517,is pole metal,Yes
518,can you use screwdriver as a tool,Yes
519,is kimono useful,Yes
520,does correspondent live alone,Yes
521,is senator an elected position,Yes
522,is clipboard more commonly in a business office then a classroom,Yes
523,does clover only grow in one color,Yes
524,does top fit in your hand,Yes
525,is ratchet made of metal,Yes
526,is room used by adults,Yes
527,is bob the name of a person,Yes
528,is exterior a wall,Yes
529,is truffles expensive,Yes
530,can you buy shovel at a store,Yes
531,is ravioli something you can touch,Yes
532,is heart used in the body,Yes
533,is pebble a thing,Yes
534,is pooch large,Yes
535,is a pan used for cooking,Yes
536,does salespeople work with money,Yes
537,is grain small,Yes
538,will acornm break if i step on it,Yes
539,does driver breathe,Yes
540,is ballpoint red,Yes
541,does dead stay inside,Yes
542,is bus larger than the average human,Yes
543,is lawyer a politician,Yes
544,does a ship have  a motor,Yes
545,is beyonce a person,Yes
546,is lamp found indoors,Yes
547,is boat made from material like wood,Yes
548,is party political,Yes
549,is councilman a mammal,Yes
550,does satellite collect information and send satellite back to earth,Yes
551,is water stored in a freezer,Yes
552,is toddler a live,Yes
553,is artist artistic,Yes
554,is mormonism some kind of religion,Yes
555,can a television be found in a kitchen,Yes
556,can latchkey be held in one hand,Yes
557,does lifeblood have a special name,Yes
558,does bugler live on land,Yes
559,would you find wedding outside,Yes
560,is grass colorful,Yes
561,is apricot small,Yes
562,is car bigger than a person,Yes
563,does mop clean things,Yes
564,is porch a porch,Yes
565,is anesthetist a medical profession,Yes
566,do you use crock to cook,Yes
567,is manager related to businessmanagement,Yes
568,is rock useful,Yes
569,does plant serve a purpose,Yes
570,is tablet white,Yes
571,is globe something people can touch,Yes
572,can asphalt be owned,Yes
573,can you buy craft somewhere,Yes
574,does database fit in your hand,Yes
575,is can made of metal,Yes
576,does loin have physical attributes,Yes
577,is workbook a book,Yes
578,is table usually found outside,Yes
579,is blender an appliance found in a kitchen,Yes
580,is chandelier used for decoration,Yes
581,does tank make a loud noise ,Yes
582,is breadbox smaller than a housecat,Yes
583,does responder pay well,Yes
584,is envelope large,Yes
585,does school involve a lot of kids,Yes
586,does pinball have buttons,Yes
587,is couch usually in a living room,Yes
588,is bonsai given as a gift,Yes
589,is copilot a profession,Yes
590,is opiate white,Yes
591,could bully have children,Yes
592,is panda engangered,Yes
593,is pool usually indoors,Yes
594,is border manmade,Yes
595,does manatee live in the ocean,Yes
596,is breastbone found in nature since its not manmade,Yes
597,is resort a place where people spend the night,Yes
598,is pear a fruit,Yes
599,does xylophone make a sound,Yes
600,is potty made out of materials,Yes
601,can bookkeeper move by itself,Yes
602,does woman cook things,Yes
603,is airplane bigger than a car,Yes
604,is bench furniture,Yes
605,is catch a game,Yes
606,is backwash natrually occuring,Yes
607,is photoshop technology,Yes
608,can more than one person use piano at a time,Yes
609,is flea smaller than a basketball,Yes
610,is forest somewhere you go,Yes
611,is caterer human,Yes
612,is munchkin a sibling,Yes
613,is wall something people write into or on,Yes
614,is stepparent a relationship through marriage,Yes
615,is moniter long,Yes
616,is thumbscrew a thing,Yes
617,does dinosaur have two hands,Yes
618,can sketchbook be held,Yes
619,is pane made of one single material,Yes
620,is black a solid color,Yes
621,is silk expensive,Yes
622,does pet need to eat,Yes
623,is resort a place,Yes
624,is bikini related to human,Yes
625,does netting hold things,Yes
626,is maize a plant,Yes
627,is soccer a game,Yes
628,is suitcase an indoors item,Yes
629,does television run on electricity,Yes
630,is messenger an occupation title,Yes
631,is dune bigger than a bread box,Yes
632,is weeds a plant,Yes
633,does employer have fingers,Yes
634,is well found on a farm,Yes
635,is beet a plant,Yes
636,is post used daily,Yes
637,is detector white,Yes
638,is tree small,Yes
639,is fraud something that might let you go to the jail,Yes
640,is carrot an object,Yes
641,does cigarettes come in a pack ,Yes
642,is money made up of paper,Yes
643,is sculptress manual labor,Yes
644,is tile sqaure,Yes
645,is talker human,Yes
646,does anthropologist work outside,Yes
647,is spatula metal,Yes
648,does iceberg cover a large area,Yes
649,is sink for hygiene,Yes
650,is earthquake a naturally occuring event ,Yes
651,is subsoil common,Yes
652,can i but sculpture at a target store,Yes
653,does raft move on water,Yes
654,is wasp alive,Yes
655,is powerboat a type of boat,Yes
656,is torchlight a tool,Yes
657,is shanty by a lake,Yes
658,can sterling fit in my hand,Yes
659,does a ambulance have four wheels,Yes
660,can you buy shingle in a store,Yes
661,is casserole a full dish,Yes
662,is flower decorative,Yes
663,is flounder found in the water,Yes
664,does heaven have to do with lifedeath,Yes
665,is barrette found in a store,Yes
666,can i hold monocle in my hands,Yes
667,is pilot human,Yes
668,is ink a liquid,Yes
669,can backstabber love,Yes
670,is aspirin some kind of pill,Yes
671,is launcher man made,Yes
672,is webbing an object,Yes
