,question,label
0,Does a dog live underwater?,No
1,A dog lives underwater.,No
2,A dog lives in the water.,No
3,Does a dog can breathe underwater?,No
4,A dog can breathe underwater.,No
5,A dog can breathe in the water.,No
6,Does a dog have wings?,No
7,A dog has wings.,No
8,A dog has at least one wing.,No
9,Does a dog have at least one wing?,No
10,Does a dog drink water?,Yes
11,A dog drinks water.,Yes
12,Water is part of a dog's diet.,Yes
13,Does a dog drink coffee?,No
14,A dog drinks coffee.,No
15,Coffee is part of a dog's diet.,No
16,Does a dog eat meat?,Yes
17,A dog eats meat.,Yes
18,Meat is part of a dog's diet.,Yes
19,Does a dog have fins?,No
20,A dog has fins.,No
21,Does a dog have scales?,No
22,A dog has scales.,No
23,Does a dog have fur?,Yes
24,A dog has fur.,Yes
25,Does a dog have hair?,Yes
26,A dog has hair.,Yes
27,Does a dog have a tail?,Yes
28,A dog has a tail.,Yes
29,Does a dog have two legs?,No
30,A dog has two legs.,No
31,Does a dog have legs?,Yes
32,A dog has legs.,Yes
33,A dog doesn't have legs.,No
34,Can a dog fly?,No
35,A dog can fly.,No
36,Does a dog have four legs?,Yes
37,A dog have four legs.,Yes
38,Can a dog climb?,Yes
39,A dog climb.,Yes
40,A dog can be found on a tree.,Yes
41,Does a dog have bones?,Yes
42,A dog has bones.,Yes
43,Does a dog have a beak?,No
44,A beak is a body part of a dog.,No
45,Is a beak a body part of a dog?,No
46,Does a dog have teeth?,Yes
47,A dog has teeth.,Yes
48,Does a dog have feathers?,No
49,A dog has feathers.,No
50,Does a dog have horns?,No
51,A dog has horns.,No
52,Horns is a body part of a dog.,No
53,Does a dog have hooves?,No
54,A dog has hooves.,No
55,Does a dog have claws?,Yes
56,A dog has claws.,Yes
57,Does a cat live underwater?,No
58,A cat lives underwater.,No
59,A cat lives in the water.,No
60,Does a cat can breathe underwater?,No
61,A cat can breathe underwater.,No
62,A cat can breathe in the water.,No
63,Does a cat have wings?,No
64,A cat has wings.,No
65,A cat has at least one wing.,No
66,Does a cat have at least one wing?,No
67,Does a cat drink water?,Yes
68,A cat drinks water.,Yes
69,Water is part of a cat's diet.,Yes
70,Does a cat drink coffee?,No
71,A cat drinks coffee.,No
72,Coffee is part of a cat's diet.,No
73,Does a cat eat meat?,Yes
74,A cat eats meat.,Yes
75,Meat is part of a cat's diet.,Yes
76,Does a cat have fins?,No
77,A cat has fins.,No
78,Does a cat have scales?,No
79,A cat has scales.,No
80,Does a cat have fur?,Yes
81,A cat has fur.,Yes
82,Does a cat have hair?,Yes
83,A cat has hair.,Yes
84,Does a cat have a tail?,Yes
85,A cat has a tail.,Yes
86,Does a cat have two legs?,No
87,A cat has two legs.,No
88,Does a cat have legs?,Yes
89,A cat has legs.,Yes
90,A cat doesn't have legs.,No
91,Can a cat fly?,No
92,A cat can fly.,No
93,Does a cat have four legs?,Yes
94,A cat have four legs.,Yes
95,Can a cat climb?,Yes
96,A cat climb.,Yes
97,A cat can be found on a tree.,Yes
98,Does a cat have bones?,Yes
99,A cat has bones.,Yes
100,Does a cat have a beak?,No
101,A beak is a body part of a cat.,No
102,Is a beak a body part of a cat?,No
103,Does a cat have teeth?,Yes
104,A cat has teeth.,Yes
105,Does a cat have feathers?,No
106,A cat has feathers.,No
107,Does a cat have horns?,No
108,A cat has horns.,No
109,Horns is a body part of a cat.,No
110,Does a cat have hooves?,No
111,A cat has hooves.,No
112,Does a cat have claws?,Yes
113,A cat has claws.,Yes
114,Does a lion live underwater?,No
115,A lion lives underwater.,No
116,A lion lives in the water.,No
117,Does a lion can breathe underwater?,No
118,A lion can breathe underwater.,No
119,A lion can breathe in the water.,No
120,Does a lion have wings?,No
121,A lion has wings.,No
122,A lion has at least one wing.,No
123,Does a lion have at least one wing?,No
124,Does a lion drink water?,Yes
125,A lion drinks water.,Yes
126,Water is part of a lion's diet.,Yes
127,Does a lion drink coffee?,No
128,A lion drinks coffee.,No
129,Coffee is part of a lion's diet.,No
130,Does a lion eat meat?,Yes
131,A lion eats meat.,Yes
132,Meat is part of a lion's diet.,Yes
133,Does a lion have fins?,No
134,A lion has fins.,No
135,Does a lion have scales?,No
136,A lion has scales.,No
137,Does a lion have fur?,Yes
138,A lion has fur.,Yes
139,Does a lion have hair?,Yes
140,A lion has hair.,Yes
141,Does a lion have a tail?,Yes
142,A lion has a tail.,Yes
143,Does a lion have two legs?,No
144,A lion has two legs.,No
145,Does a lion have legs?,Yes
146,A lion has legs.,Yes
147,A lion doesn't have legs.,No
148,Can a lion fly?,No
149,A lion can fly.,No
150,Does a lion have four legs?,Yes
151,A lion have four legs.,Yes
152,Can a lion climb?,Yes
153,A lion climb.,Yes
154,A lion can be found on a tree.,Yes
155,Does a lion have bones?,Yes
156,A lion has bones.,Yes
157,Does a lion have a beak?,No
158,A beak is a body part of a lion.,No
159,Is a beak a body part of a lion?,No
160,Does a lion have teeth?,Yes
161,A lion has teeth.,Yes
162,Does a lion have feathers?,No
163,A lion has feathers.,No
164,Does a lion have horns?,No
165,A lion has horns.,No
166,Horns is a body part of a lion.,No
167,Does a lion have hooves?,No
168,A lion has hooves.,No
169,Does a lion have claws?,Yes
170,A lion has claws.,Yes
171,Does a rhino live underwater?,No
172,A rhino lives underwater.,No
173,A rhino lives in the water.,No
174,Does a rhino can breathe underwater?,No
175,A rhino can breathe underwater.,No
176,A rhino can breathe in the water.,No
177,Does a rhino have wings?,No
178,A rhino has wings.,No
179,A rhino has at least one wing.,No
180,Does a rhino have at least one wing?,No
181,Does a rhino drink water?,Yes
182,A rhino drinks water.,Yes
183,Water is part of a rhino's diet.,Yes
184,Does a rhino drink coffee?,No
185,A rhino drinks coffee.,No
186,Coffee is part of a rhino's diet.,No
187,Does a rhino eat meat?,No
188,A rhino eats meat.,No
189,Meat is part of a rhino's diet.,No
190,Does a rhino have fins?,No
191,A rhino has fins.,No
192,Does a rhino have scales?,No
193,A rhino has scales.,No
194,Does a rhino have fur?,No
195,A rhino has fur.,No
196,Does a rhino have hair?,No
197,A rhino has hair.,No
198,Does a rhino have a tail?,Yes
199,A rhino has a tail.,Yes
200,Does a rhino have two legs?,No
201,A rhino has two legs.,No
202,Does a rhino have legs?,Yes
203,A rhino has legs.,Yes
204,A rhino doesn't have legs.,No
205,Can a rhino fly?,No
206,A rhino can fly.,No
207,Does a rhino have four legs?,Yes
208,A rhino have four legs.,Yes
209,Can a rhino climb?,No
210,A rhino climb.,No
211,A rhino can be found on a tree.,No
212,Does a rhino have bones?,Yes
213,A rhino has bones.,Yes
214,Does a rhino have a beak?,No
215,A beak is a body part of a rhino.,No
216,Is a beak a body part of a rhino?,No
217,Does a rhino have teeth?,Yes
218,A rhino has teeth.,Yes
219,Does a rhino have feathers?,No
220,A rhino has feathers.,No
221,Does a rhino have horns?,Yes
222,A rhino has horns.,Yes
223,Horns is a body part of a rhino.,Yes
224,Does a rhino have hooves?,Yes
225,A rhino has hooves.,Yes
226,Does a rhino have claws?,No
227,A rhino has claws.,No
228,Does a elephant live underwater?,No
229,A elephant lives underwater.,No
230,A elephant lives in the water.,No
231,Does a elephant can breathe underwater?,No
232,A elephant can breathe underwater.,No
233,A elephant can breathe in the water.,No
234,Does a elephant have wings?,No
235,A elephant has wings.,No
236,A elephant has at least one wing.,No
237,Does a elephant have at least one wing?,No
238,Does a elephant drink water?,Yes
239,A elephant drinks water.,Yes
240,Water is part of a elephant's diet.,Yes
241,Does a elephant drink coffee?,No
242,A elephant drinks coffee.,No
243,Coffee is part of a elephant's diet.,No
244,Does a elephant eat meat?,No
245,A elephant eats meat.,No
246,Meat is part of a elephant's diet.,No
247,Does a elephant have fins?,No
248,A elephant has fins.,No
249,Does a elephant have scales?,No
250,A elephant has scales.,No
251,Does a elephant have fur?,No
252,A elephant has fur.,No
253,Does a elephant have hair?,No
