,top_20_predictions,prediction,prediction_probability,sentence,name
0,"['tick', 'parasite', 'insect', 'worm', 'mosquito', 'bacteria', 'bug', 'beetle', 'fly', 'ant', 'pest', 'ticks', 'fungus', 'bee', 'disease', 'spider', 'virus', 'animal', 'yeast', 'moth']",animal,0.005159820895642042,A sheep_tick is a type of <mask>,sheep_tick
1,"['pig', 'animal', 'dog', 'mammal', 'baby', 'rodent', 'livestock', 'sheep', 'cow', 'rabbit', 'human', 'puppy', 'goat', 'calf', 'chicken', 'cat', 'pork', 'child', 'newborn', 'bird']",animal,0.11911778897047043,A piglet is a type of <mask>,piglet
6,"['man', 'woman', 'person', 'individual', 'masculinity', 'male', 'psychopath', 'suicide', 'artist', 'god', 'female', 'personality', 'genius', 'God', 'predator', 'loneliness', 'animal', 'human', 'dog', ':']",animal,0.00439100619405508,A solo_man is a type of <mask>,solo_man
7,"['cat', 'lion', 'dog', 'tiger', 'animal', 'mammal', 'lizard', 'elephant', 'snake', 'deer', 'wolf', 'bear', 'ant', 'gorilla', 'monkey', 'bull', 'ape', 'bird', '</s>', 'camel']",animal,0.03351583331823349,A ant_lion is a type of <mask>,ant_lion
8,"['elephant', 'mammal', 'deer', 'gorilla', 'bull', 'animal', 'horse', 'Elephant', 'elephants', 'monkey', 'tiger', 'dog', 'buffalo', 'mammoth', 'cat', 'camel', 'ape', 'cow', 'cattle', 'bear']",animal,0.010558819398283958,A indian_elephant is a type of <mask>,indian_elephant
9,"['cat', 'dog', 'tiger', 'lion', 'animal', 'snake', 'bear', 'bird', 'mammal', 'wolf', 'horse', 'elephant', 'monkey', 'lizard', 'predator', 'bull', 'fox', 'ape', 'dinosaur', 'gorilla']",animal,0.051392603665590286,A tiger is a type of <mask>,tiger
11,"['bird', 'chicken', 'goose', 'pigeon', 'duck', 'turkey', 'poultry', 'hen', 'rabbit', 'birds', 'crow', 'dove', 'egg', 'rodent', 'squirrel', 'game', 'animal', 'hawk', 'owl', 'Turkey']",animal,0.001282694167457521,A pheasant is a type of <mask>,pheasant
12,"['rock', 'tree', 'vegetation', 'stone', 'plant', 'salt', 'water', 'flower', 'fungus', 'grass', 'mineral', 'soil', 'river', 'coral', 'star', 'algae', 'pyramid', 'wood', 'animal', 'lizard']",animal,0.005387419834733009,A ascidian is a type of <mask>,ascidian
14,"['fish', 'shark', 'bat', 'squid', 'insect', 'trout', 'shrimp', 'snake', 'crab', 'salmon', 'beetle', 'fly', 'lizard', 'mammal', 'mosquito', 'butterfly', 'tuna', 'bird', 'dolphin', 'animal']",animal,0.0048987241461873055,A batfish is a type of <mask>,batfish
16,"['person', 'survivor', 'victim', 'human', 'hero', 'animal', 'individual', 'zombie', 'child', 'adult', 'man', 'being', 'woman', 'warrior', 'soldier', 'cancer', 'patient', 'superhero', 'dog', 'character']",animal,0.014741910621523857,A survivor is a type of <mask>,survivor
17,"['bird', 'hawk', 'pigeon', 'raven', 'eagle', 'dove', 'crow', 'birds', 'snake', 'dinosaur', 'bat', 'owl', 'deer', 'crane', '</s>', 'butterfly', 'animal', 'mammal', 'dog', 'cat']",animal,0.0030715418979525566,A andean_condor is a type of <mask>,andean_condor
19,"['deer', 'rabbit', 'mammal', 'wolf', 'horse', 'animal', 'dog', 'buck', 'goat', 'rodent', 'bear', 'Deer', 'squirrel', 'cat', 'ant', 'mouse', 'elephant', 'game', 'fox', 'sheep']",animal,0.0034260095562785864,A musk_deer is a type of <mask>,musk_deer
20,"['rodent', 'rat', 'mouse', 'mole', 'mammal', 'snake', 'cat', 'squirrel', 'rabbit', 'dog', 'animal', 'bat', 'lizard', 'bird', 'python', 'shrew', 'rodents', 'fox', 'monkey', 'rats']",animal,0.003893238492310047,A opossum_rat is a type of <mask>,opossum_rat
