,questions,labels
0,web is part of webfoot,Yes
1,listening to radio has a prerequisite of hear,Yes
2,contraceptive is usually located at medicine cabinet,Yes
3,rib is part of umbrella,Yes
4,finding truth is usually used for understanding,Yes
5,drinking has a prerequisite of swallowing,Yes
6,landlord is capable of let flat,Yes
7,creature is usually located at black lagoon,Yes
8,enjoy film has a prerequisite of buy ticket,Yes
9,pus is part of hindu calendar,Yes
10,go somewhere has a last subevent of arrive there,Yes
11,internal is the opposite of external,Yes
12,go to mall has a subevent of study fashions,Yes
13,calendar book is usually located at briefcase,Yes
14,literate is the opposite of illiterate,Yes
15,shunt is part of circuit,Yes
16,jonah is part of prophets,Yes
17,xylophone is usually located at band,Yes
18,determine truth has a prerequisite of look at facts,Yes
19,meeting interesting people usually causes sex,Yes
20,patriots day is part of april,Yes
21,pilothouse is part of bridge,Yes
22,potato is usually located at apartment,Yes
23,fight war is motivated by a goal of human rights at stake,Yes
24,united states is usually located at history book,Yes
25,entertaining has a subevent of play pool,Yes
26,centavo is part of mexican peso,Yes
27,dust entails remove,Yes
28,makeup is usually used for enhance,Yes
29,make people laugh has a prerequisite of tell joke,Yes
30,start flame or fire has a prerequisite of use lighter,Yes
31,eating vegetables usually causes good health,Yes
32,melbourne is part of florida,Yes
33,surf net has a prerequisite of get computer,Yes
34,novosibirsk is part of russia,Yes
35,al ladhiqiyah is part of syria,Yes
36,blanketing is usually used for warm up,Yes
37,attend classical concert has a subevent of hear music,Yes
38,petal is part of corolla,Yes
39,jewish calendar month is part of jewish calendar,Yes
40,wood usually recieves an action of burned,Yes
41,conquering opponent has a prerequisite of beating,Yes
42,beanbag is usually used for sit in,Yes
43,buckets is capable of carry water,Yes
44,kitchen is usually located at resturant,Yes
45,have party has a last subevent of accept congratulations,Yes
46,chat with friends has a subevent of hug good bye,Yes
47,people is usually located at water fountain,Yes
48,pit of stomach is part of stomach,Yes
49,kanara is part of india,Yes
50,traveling has a subevent of exploring new cultures,Yes
51,carpeting is usually located at room,Yes
52,screwdriver is capable of turn screw,Yes
53,classful is the opposite of classless,Yes
54,honolulu is part of oahu,Yes
55,seeing band has a subevent of dancing,Yes
56,judge is motivated by a goal of dont know,Yes
57,machine is usually used for mold,Yes
58,stress causes desire of have nervous breakdown,Yes
59,get clean has a prerequisite of take off clothes,Yes
