,question,label
0,does a fish have scales?,Yes
1,a fish has scales.,Yes
2,does a shark have scales?,Yes
3,a shark has scales.,Yes
4,does a tuna have scales?,Yes
5,a tuna has scales.,Yes
6,does a salmon have scales?,Yes
7,a salmon has scales.,Yes
8,does a octupus have scales?,Yes
9,a octupus has scales.,Yes
10,does a barracuda have scales?,Yes
11,a barracuda has scales.,Yes
12,does a codfish have scales?,Yes
13,a codfish has scales.,Yes
14,does a cuttlefish have scales?,Yes
15,a cuttlefish has scales.,Yes
16,does a dolphin have scales?,Yes
17,a dolphin has scales.,Yes
18,does a eel have scales?,Yes
19,a eel has scales.,Yes
20,does a gar have scales?,Yes
21,a gar has scales.,Yes
22,does a herring have scales?,Yes
23,a herring has scales.,Yes
24,does a kingfisher have scales?,Yes
25,a kingfisher has scales.,Yes
26,does a piranha have scales?,Yes
27,a piranha has scales.,Yes
28,does a bluefish have scales?,Yes
29,a bluefish has scales.,Yes
30,does a bass have scales?,Yes
31,a bass has scales.,Yes
32,does a buri have scales?,Yes
33,a buri has scales.,Yes
34,does a knifefish have scales?,Yes
35,a knifefish has scales.,Yes
