,question,label
0,Does a aircraft have wheels?,Yes
1,Does a aircraft have four wheels?,No
2,Does a aircraft have two wheels?,No
3,Does a aircraft have wings?,Yes
4,Does a aircraft fly?,Yes
5,Does a aircraft travel on land?,No
6,Does a aircraft travel on water?,No
7,Does a aircraft travel in space?,No
8,Is a aircraft used for construction?,No
9,Does a aircraft carry one person?,No
10,Does a aircraft have a steering wheel?,Yes
11,Can a aircraft carry cargo?,Yes
12,Does a aircraft have  a motor?,Yes
13,Does a airplane have wheels?,Yes
14,Does a airplane have four wheels?,No
15,Does a airplane have two wheels?,No
16,Does a airplane have wings?,Yes
17,Does a airplane fly?,Yes
18,Does a airplane travel on land?,No
19,Does a airplane travel on water?,No
20,Does a airplane travel in space?,No
21,Is a airplane used for construction?,No
22,Does a airplane carry one person?,No
23,Does a airplane have a steering wheel?,Yes
24,Can a airplane carry cargo?,Yes
25,Does a airplane have  a motor?,Yes
26,Does a airship have wheels?,No
27,Does a airship have four wheels?,No
28,Does a airship have two wheels?,No
29,Does a airship have wings?,No
30,Does a airship fly?,Yes
31,Does a airship travel on land?,No
32,Does a airship travel on water?,No
33,Does a airship travel in space?,No
34,Is a airship used for construction?,No
35,Does a airship carry one person?,No
36,Does a airship have a steering wheel?,No
37,Can a airship carry cargo?,Yes
38,Does a airship have  a motor?,Yes
39,Does a ambulance have wheels?,Yes
40,Does a ambulance have four wheels?,Yes
41,Does a ambulance have two wheels?,No
42,Does a ambulance have wings?,No
43,Does a ambulance fly?,No
44,Does a ambulance travel on land?,Yes
45,Does a ambulance travel on water?,No
46,Does a ambulance travel in space?,No
47,Is a ambulance used for construction?,No
48,Does a ambulance carry one person?,No
49,Does a ambulance have a steering wheel?,Yes
50,Can a ambulance carry cargo?,No
51,Does a ambulance have  a motor?,Yes
52,Does a battleship have wheels?,No
53,Does a battleship have four wheels?,No
54,Does a battleship have two wheels?,No
55,Does a battleship have wings?,No
56,Does a battleship fly?,No
57,Does a battleship travel on land?,No
58,Does a battleship travel on water?,Yes
59,Does a battleship travel in space?,No
60,Is a battleship used for construction?,No
61,Does a battleship carry one person?,No
62,Does a battleship have a steering wheel?,Yes
63,Can a battleship carry cargo?,Yes
64,Does a battleship have  a motor?,Yes
65,Does a bicycle have wheels?,Yes
66,Does a bicycle have four wheels?,No
67,Does a bicycle have two wheels?,Yes
68,Does a bicycle have wings?,No
69,Does a bicycle fly?,No
70,Does a bicycle travel on land?,Yes
71,Does a bicycle travel on water?,No
72,Does a bicycle travel in space?,No
73,Is a bicycle used for construction?,No
74,Does a bicycle carry one person?,Yes
75,Does a bicycle have a steering wheel?,No
76,Can a bicycle carry cargo?,No
77,Does a bicycle have  a motor?,No
78,Does a boat have wheels?,No
79,Does a boat have four wheels?,No
80,Does a boat have two wheels?,No
81,Does a boat have wings?,No
82,Does a boat fly?,No
83,Does a boat travel on land?,No
84,Does a boat travel on water?,Yes
85,Does a boat travel in space?,No
86,Is a boat used for construction?,No
87,Does a boat carry one person?,No
88,Does a boat have a steering wheel?,Yes
89,Can a boat carry cargo?,No
90,Does a boat have  a motor?,Yes
91,Does a bus have wheels?,Yes
92,Does a bus have four wheels?,No
93,Does a bus have two wheels?,No
94,Does a bus have wings?,No
95,Does a bus fly?,No
96,Does a bus travel on land?,Yes
97,Does a bus travel on water?,No
98,Does a bus travel in space?,No
99,Is a bus used for construction?,No
100,Does a bus carry one person?,No
101,Does a bus have a steering wheel?,Yes
102,Can a bus carry cargo?,No
103,Does a bus have  a motor?,Yes
104,Does a cab have wheels?,Yes
105,Does a cab have four wheels?,Yes
106,Does a cab have two wheels?,No
107,Does a cab have wings?,No
108,Does a cab fly?,No
109,Does a cab travel on land?,Yes
110,Does a cab travel on water?,No
111,Does a cab travel in space?,No
112,Is a cab used for construction?,No
113,Does a cab carry one person?,No
114,Does a cab have a steering wheel?,Yes
115,Can a cab carry cargo?,No
116,Does a cab have  a motor?,Yes
117,Does a car have wheels?,Yes
118,Does a car have four wheels?,Yes
119,Does a car have two wheels?,No
120,Does a car have wings?,No
121,Does a car fly?,No
122,Does a car travel on land?,Yes
123,Does a car travel on water?,No
124,Does a car travel in space?,No
125,Is a car used for construction?,No
126,Does a car carry one person?,No
127,Does a car have a steering wheel?,Yes
128,Can a car carry cargo?,No
129,Does a car have  a motor?,Yes
130,Does a jeep have wheels?,Yes
131,Does a jeep have four wheels?,Yes
132,Does a jeep have two wheels?,No
133,Does a jeep have wings?,No
134,Does a jeep fly?,No
135,Does a jeep travel on land?,Yes
136,Does a jeep travel on water?,No
137,Does a jeep travel in space?,No
138,Is a jeep used for construction?,No
139,Does a jeep carry one person?,No
140,Does a jeep have a steering wheel?,Yes
141,Can a jeep carry cargo?,No
142,Does a jeep have  a motor?,Yes
143,Does a ship have wheels?,No
144,Does a ship have four wheels?,No
145,Does a ship have two wheels?,No
146,Does a ship have wings?,No
147,Does a ship fly?,No
148,Does a ship travel on land?,No
149,Does a ship travel on water?,Yes
150,Does a ship travel in space?,No
151,Is a ship used for construction?,No
152,Does a ship carry one person?,No
153,Does a ship have a steering wheel?,Yes
154,Can a ship carry cargo?,No
155,Does a ship have  a motor?,Yes
156,Does a spacecraft have wheels?,Yes
157,Does a spacecraft have four wheels?,No
158,Does a spacecraft have two wheels?,No
159,Does a spacecraft have wings?,Yes
160,Does a spacecraft fly?,Yes
161,Does a spacecraft travel on land?,No
162,Does a spacecraft travel on water?,No
163,Does a spacecraft travel in space?,Yes
164,Is a spacecraft used for construction?,No
165,Does a spacecraft carry one person?,No
166,Does a spacecraft have a steering wheel?,Yes
167,Can a spacecraft carry cargo?,Yes
168,Does a spacecraft have  a motor?,Yes
169,Does a van have wheels?,Yes
170,Does a van have four wheels?,Yes
171,Does a van have two wheels?,No
172,Does a van have wings?,No
173,Does a van fly?,No
174,Does a van travel on land?,Yes
175,Does a van travel on water?,No
176,Does a van travel in space?,No
177,Is a van used for construction?,No
178,Does a van carry one person?,No
179,Does a van have a steering wheel?,Yes
180,Can a van carry cargo?,Yes
181,Does a van have  a motor?,Yes
182,Does a helicopter have wheels?,No
183,Does a helicopter have four wheels?,No
184,Does a helicopter have two wheels?,No
185,Does a helicopter have wings?,No
186,Does a helicopter fly?,Yes
187,Does a helicopter travel on land?,No
188,Does a helicopter travel on water?,No
189,Does a helicopter travel in space?,No
190,Is a helicopter used for construction?,No
191,Does a helicopter carry one person?,No
192,Does a helicopter have a steering wheel?,No
193,Can a helicopter carry cargo?,Yes
194,Does a helicopter have  a motor?,Yes
195,Does a submarine have wheels?,No
196,Does a submarine have four wheels?,No
197,Does a submarine have two wheels?,No
198,Does a submarine have wings?,No
199,Does a submarine fly?,No
200,Does a submarine travel on land?,No
201,Does a submarine travel on water?,Yes
202,Does a submarine travel in space?,No
203,Is a submarine used for construction?,No
204,Does a submarine carry one person?,No
205,Does a submarine have a steering wheel?,No
206,Can a submarine carry cargo?,Yes
207,Does a submarine have  a motor?,Yes
208,Does a scooter have wheels?,Yes
209,Does a scooter have four wheels?,No
210,Does a scooter have two wheels?,Yes
211,Does a scooter have wings?,No
212,Does a scooter fly?,No
213,Does a scooter travel on land?,Yes
214,Does a scooter travel on water?,No
215,Does a scooter travel in space?,No
216,Is a scooter used for construction?,No
217,Does a scooter carry one person?,Yes
218,Does a scooter have a steering wheel?,No
219,Can a scooter carry cargo?,No
220,Does a scooter have  a motor?,Yes
221,Does a sports car have wheels?,Yes
222,Does a sports car have four wheels?,Yes
223,Does a sports car have two wheels?,No
224,Does a sports car have wings?,No
225,Does a sports car fly?,No
226,Does a sports car travel on land?,Yes
227,Does a sports car travel on water?,No
228,Does a sports car travel in space?,No
229,Is a sports car used for construction?,No
230,Does a sports car carry one person?,No
231,Does a sports car have a steering wheel?,Yes
232,Can a sports car carry cargo?,No
233,Does a sports car have  a motor?,Yes
234,Does a taxi have wheels?,Yes
235,Does a taxi have four wheels?,Yes
236,Does a taxi have two wheels?,No
237,Does a taxi have wings?,No
238,Does a taxi fly?,No
239,Does a taxi travel on land?,Yes
240,Does a taxi travel on water?,No
241,Does a taxi travel in space?,No
242,Is a taxi used for construction?,No
243,Does a taxi carry one person?,No
244,Does a taxi have a steering wheel?,Yes
245,Can a taxi carry cargo?,No
246,Does a taxi have  a motor?,Yes
247,Does a police car have wheels?,Yes
248,Does a police car have four wheels?,Yes
249,Does a police car have two wheels?,No
250,Does a police car have wings?,No
251,Does a police car fly?,No
252,Does a police car travel on land?,Yes
253,Does a police car travel on water?,No
254,Does a police car travel in space?,No
255,Is a police car used for construction?,No
256,Does a police car carry one person?,No
257,Does a police car have a steering wheel?,Yes
258,Can a police car carry cargo?,No
259,Does a police car have  a motor?,Yes
260,Does a skateboard have wheels?,Yes
261,Does a skateboard have four wheels?,Yes
262,Does a skateboard have two wheels?,No
263,Does a skateboard have wings?,No
264,Does a skateboard fly?,No
265,Does a skateboard travel on land?,Yes
266,Does a skateboard travel on water?,No
267,Does a skateboard travel in space?,No
268,Is a skateboard used for construction?,No
269,Does a skateboard carry one person?,Yes
270,Does a skateboard have a steering wheel?,No
271,Can a skateboard carry cargo?,No
272,Does a skateboard have  a motor?,No
273,Does a mountain bike have wheels?,Yes
274,Does a mountain bike have four wheels?,No
275,Does a mountain bike have two wheels?,Yes
276,Does a mountain bike have wings?,No
277,Does a mountain bike fly?,No
278,Does a mountain bike travel on land?,Yes
279,Does a mountain bike travel on water?,No
280,Does a mountain bike travel in space?,No
281,Is a mountain bike used for construction?,No
282,Does a mountain bike carry one person?,Yes
283,Does a mountain bike have a steering wheel?,No
284,Can a mountain bike carry cargo?,No
285,Does a mountain bike have  a motor?,No
286,Does a motorcycle have wheels?,Yes
287,Does a motorcycle have four wheels?,No
288,Does a motorcycle have two wheels?,Yes
289,Does a motorcycle have wings?,No
290,Does a motorcycle fly?,No
291,Does a motorcycle travel on land?,Yes
292,Does a motorcycle travel on water?,No
293,Does a motorcycle travel in space?,No
294,Is a motorcycle used for construction?,No
295,Does a motorcycle carry one person?,Yes
296,Does a motorcycle have a steering wheel?,No
297,Can a motorcycle carry cargo?,No
298,Does a motorcycle have  a motor?,Yes
299,Does a fire truck have wheels?,Yes
300,Does a fire truck have four wheels?,No
301,Does a fire truck have two wheels?,No
302,Does a fire truck have wings?,No
303,Does a fire truck fly?,No
304,Does a fire truck travel on land?,Yes
305,Does a fire truck travel on water?,No
306,Does a fire truck travel in space?,No
307,Is a fire truck used for construction?,No
308,Does a fire truck carry one person?,No
309,Does a fire truck have a steering wheel?,Yes
310,Can a fire truck carry cargo?,No
311,Does a fire truck have  a motor?,Yes
312,Does a crane have wheels?,Yes
313,Does a crane have four wheels?,No
314,Does a crane have two wheels?,No
315,Does a crane have wings?,No
316,Does a crane fly?,No
317,Does a crane travel on land?,Yes
318,Does a crane travel on water?,No
319,Does a crane travel in space?,No
320,Is a crane used for construction?,Yes
321,Does a crane carry one person?,No
322,Does a crane have a steering wheel?,Yes
323,Can a crane carry cargo?,Yes
324,Does a crane have  a motor?,Yes
325,Does a forklift have wheels?,Yes
326,Does a forklift have four wheels?,No
327,Does a forklift have two wheels?,No
328,Does a forklift have wings?,No
329,Does a forklift fly?,No
330,Does a forklift travel on land?,Yes
331,Does a forklift travel on water?,No
332,Does a forklift travel in space?,No
333,Is a forklift used for construction?,Yes
334,Does a forklift carry one person?,No
335,Does a forklift have a steering wheel?,Yes
336,Can a forklift carry cargo?,Yes
337,Does a forklift have  a motor?,Yes
338,Does a tractor have wheels?,Yes
339,Does a tractor have four wheels?,Yes
340,Does a tractor have two wheels?,No
341,Does a tractor have wings?,No
