,question,model_answer,true_answer
0,Does a knifefish have fins?,Yes,Yes
1,Fins are part of a tuna's body.,No,Yes
2,Does a bass have fins?,Yes,Yes
3,Does a dolphin have fins?,Yes,Yes
4,Does a piranha have fins?,Yes,Yes
5,A bluefish has fins.,Yes,Yes
6,Does a eel have fins?,Yes,Yes
7,Fins are part of a kingfisher's body.,No,Yes
8,Are fins part of a gar's body?,No,Yes
9,A shark has fins.,Yes,Yes
10,Are fins part of a buri's body?,No,Yes
11,A buri has fins.,No,Yes
12,Are fins part of a codfish's body?,No,Yes
13,Fins are part of a herring's body.,No,Yes
14,A octupus has fins.,Yes,Yes
15,Fins are part of a bass's body.,No,Yes
16,A tuna has fins.,Yes,Yes
17,Are fins part of a bass's body?,Yes,Yes
18,Does a kingfisher have fins?,Yes,Yes
19,Are fins part of a fish's body?,Yes,Yes
20,Does a buri have fins?,No,Yes
21,Fins are part of a cuttlefish's body.,Yes,Yes
22,A sea bream has fins.,Yes,Yes
23,Does a bluefish have fins?,Yes,Yes
24,A herring has fins.,Yes,Yes
25,A dolphin has fins.,Yes,Yes
26,Does a fish have fins?,Yes,Yes
27,Fins are part of a codfish's body.,No,Yes
28,Does a sea bream have fins?,Yes,Yes
29,Does a tuna have fins?,Yes,Yes
30,Fins are part of a eel's body.,No,Yes
31,A barracuda has fins.,Yes,Yes
32,Does a shark have fins?,Yes,Yes
33,A piranha has fins.,Yes,Yes
34,Does a barracuda have fins?,Yes,Yes
35,A salmon has fins.,Yes,Yes
36,Are fins part of a cuttlefish's body?,Yes,Yes
37,A kingfisher has fins.,Yes,Yes
38,A knifefish has fins.,Yes,Yes
39,Fins are part of a shark's body.,No,Yes
40,Are fins part of a barracuda's body?,No,Yes
41,Fins are part of a buri's body.,No,Yes
42,Fins are part of a dolphin's body.,No,Yes
43,Does a octupus have fins?,Yes,Yes
44,Fins are part of a salmon's body.,No,Yes
45,Are fins part of a sea bream's body?,Yes,Yes
46,A codfish has fins.,Yes,Yes
47,Fins are part of a kingfisher's body.,No,Yes
48,Are fins part of a tuna's body?,No,Yes
49,A bass has fins.,Yes,Yes
50,Fins are part of a piranha's body.,No,Yes
51,A cuttlefish has fins.,Yes,Yes
52,Fins are part of a bluefish's body.,No,Yes
53,Are fins part of a shark's body?,Yes,Yes
54,Are fins part of a kingfisher's body?,No,Yes
55,Does a salmon have fins?,Yes,Yes
56,Fins are part of a gar's body.,No,Yes
57,Are fins part of a herring's body?,No,Yes
58,Are fins part of a kingfisher's body?,No,Yes
59,Fins are part of a sea bream's body.,No,Yes
60,A gar has fins.,No,Yes
61,Are fins part of a dolphin's body?,Yes,Yes
62,Fins are part of a barracuda's body.,No,Yes
63,Are fins part of a piranha's body?,No,Yes
64,Does a cuttlefish have fins?,Yes,Yes
65,A kingfisher has fins.,Yes,Yes
66,Fins are part of a knifefish's body.,No,Yes
67,Are fins part of a salmon's body?,No,Yes
68,Does a gar have fins?,Yes,Yes
69,Are fins part of a knifefish's body?,No,Yes
70,Fins are part of a octupus's body.,No,Yes
71,Are fins part of a eel's body?,No,Yes
72,Fins are part of a fish's body.,No,Yes
73,Does a codfish have fins?,Yes,Yes
74,Are fins part of a bluefish's body?,No,Yes
75,A fish has fins.,Yes,Yes
76,Does a kingfisher have fins?,Yes,Yes
77,Are fins part of a octupus's body?,No,Yes
78,Does a herring have fins?,Yes,Yes
79,A eel has fins.,Yes,Yes
