,question,model_answer,true_answer
0,Is pigeon is capable of flying?,No,Yes
1,A turkey flys.,No,Yes
2,hummingbird is capable of flying.,No,Yes
3,crow is capable of flying.,Yes,Yes
4,Can a duck fly?,Yes,Yes
5,Can a albatrosses fly?,Yes,Yes
6,A hen flys.,Yes,Yes
7,Can a goose fly?,Yes,Yes
8,Does a heron fly?,No,Yes
9,Can a bald eagle fly?,Yes,Yes
10,Does a turkey fly?,No,Yes
11,Can a heron fly?,No,Yes
12,A hummingbird flys.,Yes,Yes
13,A swan flys.,Yes,Yes
14,Can a turkey fly?,No,Yes
15,A chicken flys.,No,Yes
16,Can a songbird fly?,Yes,Yes
17,Does a crow fly?,Yes,Yes
18,A stork flys.,Yes,Yes
19,toco toucan is capable of flying.,No,Yes
20,duck is capable of flying.,No,Yes
21,Is parrot is capable of flying?,No,Yes
22,Can a dove fly?,No,Yes
23,Does a stork fly?,Yes,Yes
24,Does a seabird fly?,Yes,Yes
25,Can a swan fly?,Yes,Yes
26,Is ostrich is capable of flying?,Yes,Yes
27,Is hen is capable of flying?,No,Yes
28,Does a goose fly?,Yes,Yes
29,Is chicken is capable of flying?,No,Yes
30,Is gull is capable of flying?,Yes,Yes
31,Does a eagle fly?,Yes,Yes
32,Does a gull fly?,Yes,Yes
33,Does a chicken fly?,Yes,Yes
34,A eagle flys.,Yes,Yes
35,Is stork is capable of flying?,No,Yes
36,Can a falcon fly?,Yes,Yes
37,Is falcon is capable of flying?,Yes,Yes
38,seabird is capable of flying.,Yes,Yes
39,Does a duck fly?,Yes,Yes
40,bird is capable of flying.,Yes,Yes
41,Can a flamingo fly?,Yes,Yes
42,pigeon is capable of flying.,No,Yes
43,gull is capable of flying.,Yes,Yes
44,Is dove is capable of flying?,No,Yes
45,A ostrich flys.,Yes,Yes
46,Is seabird is capable of flying?,Yes,Yes
47,A pigeon flys.,Yes,Yes
48,Can a parrot fly?,Yes,Yes
49,roaster is capable of flying.,No,Yes
50,Can a gull fly?,Yes,Yes
51,Is bald eagle is capable of flying?,Yes,Yes
52,Can a ostrich fly?,No,Yes
53,A wader flys.,Yes,Yes
54,A albatrosses flys.,Yes,Yes
55,Can a roaster fly?,No,Yes
56,Does a pigeon fly?,Yes,Yes
57,Does a peacock fly?,Yes,Yes
58,Does a jay fly?,Yes,Yes
59,swan is capable of flying.,Yes,Yes
60,bald eagle is capable of flying.,Yes,Yes
61,Can a seabird fly?,Yes,Yes
62,Does a albatrosses fly?,Yes,Yes
63,Does a owl fly?,Yes,Yes
64,sparrow is capable of flying.,No,Yes
65,Does a roaster fly?,No,Yes
66,Is jay is capable of flying?,No,Yes
67,Is owl is capable of flying?,Yes,Yes
68,macaw is capable of flying.,No,Yes
69,owl is capable of flying.,Yes,Yes
70,Does a ostrich fly?,Yes,Yes
71,jay is capable of flying.,Yes,Yes
72,Can a owl fly?,Yes,Yes
73,A owl flys.,Yes,Yes
74,A sparrow flys.,No,Yes
75,Can a eagle fly?,Yes,Yes
76,A seabird flys.,Yes,Yes
77,Is turkey is capable of flying?,No,Yes
78,Can a crow fly?,Yes,Yes
79,Does a hen fly?,Yes,Yes
80,Is albatrosses is capable of flying?,Yes,Yes
81,peacock is capable of flying.,No,Yes
82,Is wader is capable of flying?,No,Yes
83,Can a stork fly?,Yes,Yes
84,A roaster flys.,No,Yes
85,Does a bird fly?,Yes,Yes
86,Does a wader fly?,Yes,Yes
87,A gull flys.,Yes,Yes
88,Can a wader fly?,No,Yes
89,A peacock flys.,Yes,Yes
90,Does a swan fly?,Yes,Yes
91,Is hummingbird is capable of flying?,No,Yes
92,A bald eagle flys.,Yes,Yes
93,stork is capable of flying.,No,Yes
94,Is songbird is capable of flying?,No,Yes
95,Is macaw is capable of flying?,No,Yes
96,falcon is capable of flying.,Yes,Yes
97,A heron flys.,Yes,Yes
98,Is duck is capable of flying?,No,Yes
99,A jay flys.,Yes,Yes
100,goose is capable of flying.,No,Yes
101,Is crow is capable of flying?,Yes,Yes
102,Does a sparrow fly?,Yes,Yes
103,A vulture flys.,Yes,Yes
104,Is vulture is capable of flying?,No,Yes
105,Does a macaw fly?,Yes,Yes
106,Does a flamingo fly?,Yes,Yes
107,A songbird flys.,Yes,Yes
108,A parrot flys.,Yes,Yes
109,heron is capable of flying.,No,Yes
110,dove is capable of flying.,No,Yes
111,Can a pigeon fly?,Yes,Yes
112,Does a vulture fly?,Yes,Yes
113,Does a toco toucan fly?,No,Yes
114,Is toco toucan is capable of flying?,No,Yes
115,eagle is capable of flying.,Yes,Yes
116,Does a dove fly?,No,Yes
117,A flamingo flys.,Yes,Yes
118,Is roaster is capable of flying?,No,Yes
119,Can a sparrow fly?,Yes,Yes
120,hen is capable of flying.,No,Yes
121,turkey is capable of flying.,No,Yes
122,Is flamingo is capable of flying?,Yes,Yes
123,Is bird is capable of flying?,Yes,Yes
124,A crow flys.,Yes,Yes
125,wader is capable of flying.,No,Yes
126,A dove flys.,No,Yes
127,Does a parrot fly?,Yes,Yes
128,chicken is capable of flying.,No,Yes
129,vulture is capable of flying.,Yes,Yes
130,Is heron is capable of flying?,No,Yes
131,Does a songbird fly?,Yes,Yes
132,albatrosses is capable of flying.,Yes,Yes
