,question,model_answer,true_answer
0,Does a parrot have hair?,Yes,No
1,Does a pig have hair?,No,No
2,Does a herring have hair?,Yes,No
3,Does a lizard have teeth?,Yes,Yes
4,Is a rhino a carnivore?,No,No
5,Can a peacock climb?,Yes,Yes
6,Does a swan drink coffee?,Yes,No
7,Is a turtle warm-blooded?,No,No
8,Is a rat cold-blooded?,No,No
9,Does a snake have teeth?,Yes,Yes
10,Does a snake drink coffee?,No,No
11,Can a zebra climb?,No,No
12,Does a hummingbird have four legs?,Yes,No
13,Does a eagle have hooves?,Yes,No
14,Does a fish have a tail?,Yes,Yes
15,Does a parrot have teeth?,Yes,No
16,Does a lion have hair?,Yes,Yes
17,Does a duck have two legs?,Yes,Yes
18,Does a turtle have bones?,Yes,Yes
19,Does a fish have two legs?,No,No
20,Does a ostrich have scales?,No,No
21,Can a bat climb?,Yes,Yes
22,Does a dog have a tail?,Yes,Yes
23,Does a owl have feathers?,Yes,Yes
24,Does a crab have legs?,Yes,Yes
25,Does a rat have teeth?,Yes,Yes
26,Does a horse have wings?,No,No
27,Does a swan live underwater?,Yes,No
28,Does a sheep live underwater?,No,No
29,Is a penguin warm-blooded?,Yes,Yes
30,Does a tuna have bones?,Yes,Yes
31,Does a peacock have horns?,Yes,No
32,Does a ostrich drink water?,Yes,Yes
33,Does a turtle have two legs?,Yes,No
34,Does a dolphin have wings?,Yes,No
35,Does a butterfly have a beak?,Yes,No
36,Does a octupus have bones?,Yes,No
37,Does a elephant have wings?,Yes,No
38,Does a parrot have hooves?,Yes,No
39,Does a pig have a tail?,Yes,Yes
40,Is a rabbit an herbivore?,Yes,Yes
41,Does a eagle have scales?,No,No
42,Is a ostrich an omnivore?,No,No
43,Does a duck eat meat?,Yes,No
44,Does a prawn live underwater?,Yes,Yes
45,Does a ostrich have a beak?,Yes,Yes
46,Does a eel have horns?,Yes,No
47,Does a kangaroo live underwater?,No,No
48,Is a parrot an omnivore?,Yes,No
49,Is a rat warm-blooded?,No,Yes
50,Does a dolphin have hair?,Yes,No
51,Is a deer a carnivore?,Yes,No
52,Does a jellyfish have feathers?,No,No
53,Does a crocodile eat meat?,Yes,Yes
54,Does a camel have hooves?,Yes,Yes
55,Does a squid drink water?,Yes,No
56,Does a cow have scales?,No,No
57,Does a peacock eat meat?,No,No
58,Does a pig drink water?,No,Yes
59,Is a swan an herbivore?,No,No
60,Does a monkey have hooves?,No,No
61,Does a pigeon have wings?,Yes,Yes
62,Does a butterfly have hooves?,No,No
63,Does a rhino have scales?,No,No
64,Does a frog have teeth?,Yes,Yes
65,Does a elephant have scales?,No,No
66,Does a worm have wings?,Yes,No
67,Does a octupus have wings?,No,No
68,Can a frog fly?,Yes,No
69,Does a koala eat meat?,Yes,No
70,Does a frog eat meat?,Yes,Yes
71,Does a elephant drink water?,No,Yes
72,Does a prawn eat meat?,Yes,No
73,Does a bird have fur?,Yes,No
74,Does a jellyfish have fins?,Yes,No
75,Does a rhino have hooves?,Yes,Yes
76,Can a pigeon fly?,Yes,Yes
77,Does a whale have feathers?,Yes,No
78,Does a fish drink water?,Yes,No
79,Does a salamander have a beak?,Yes,No
80,Does a lizard have four legs?,Yes,Yes
81,Does a goat eat meat?,Yes,No
82,Is a flamingo a carnivore?,Yes,No
83,Can a otter climb?,Yes,No
84,Does a butterfly have a tail?,Yes,No
85,Is a rhino an omnivore?,Yes,No
86,Does a turtle have a tail?,Yes,Yes
87,Does a sheep have a tail?,Yes,Yes
88,Does a peacock have teeth?,No,No
89,Does a crocodile have fins?,Yes,No
90,Does a crocodile have horns?,Yes,No
91,Does a jellyfish have fur?,Yes,No
92,Does a lizard have feathers?,No,No
93,Does a herring have two legs?,No,No
94,Does a swan have feathers?,Yes,Yes
95,Can a dolphin climb?,Yes,No
96,Does a crocodile have a tail?,Yes,Yes
97,Is a sheep an herbivore?,No,Yes
98,Is a frog an herbivore?,No,No
99,Is a mule an herbivore?,Yes,Yes
