,question,model_answer,true_answer
0,a blackbuck has horns,Yes,Yes
1,does a ibex have a horn,No,Yes
2,does a blackbuck have a horn,Yes,Yes
3,a gemsbok has a horn,No,Yes
4,does a oryx have horns,No,Yes
5,does a ox have a horn,Yes,Yes
6,does a mounflon have a horn,No,Yes
7,a reindeer has horns,Yes,Yes
8,a moose has a horn,Yes,Yes
9,a sheep has horns,Yes,Yes
10,does a sheep have horns,Yes,Yes
11,does a yak have a horn,No,Yes
12,does a ibex have horns,No,Yes
13,a ox has a horn,Yes,Yes
14,a antelope has a horn,No,Yes
15,does a addax have horns,No,Yes
16,does a gnu have horns,No,Yes
17,a mounflon has a horn,Yes,Yes
18,does a anoa have a horn,No,Yes
19,does a reindeer have horns,Yes,Yes
20,does a gnu have a horn,No,Yes
21,does a bharal have a horn,No,Yes
22,a goat has horns,Yes,Yes
23,a blackbuck has a horn,Yes,Yes
24,does a gemsbok have a horn,No,Yes
25,does a eland have horns,No,Yes
26,does a blackbuck have horns,Yes,Yes
27,does a goral have horns,No,Yes
28,a gazelle has horns,No,Yes
29,a markhor has horns,No,Yes
30,does a wildbeest have a horn,No,Yes
31,does a bison have a horn,Yes,Yes
32,a rhino has a horn,Yes,Yes
33,does a kudu have horns,No,Yes
34,does a kudu have a horn,No,Yes
35,does a cattle have a horn,Yes,Yes
36,a ibex has a horn,No,Yes
37,a goat has a horn,Yes,Yes
38,does a ox have horns,Yes,Yes
39,does a yak have horns,No,Yes
40,does a bull have a horn,Yes,Yes
41,does a giraffe have a horn,Yes,Yes
42,does a goat have horns,Yes,Yes
43,a deer has a horn,No,Yes
44,does a ram have horns,Yes,Yes
45,a bull has horns,Yes,Yes
46,a impala has horns,Yes,Yes
47,a rhino has horns,Yes,Yes
48,does a markhor have horns,No,Yes
49,does a addax have a horn,No,Yes
50,a addax has a horn,No,Yes
51,does a buffalo have a horn,Yes,Yes
52,a addax has horns,No,Yes
53,a gnu has a horn,No,Yes
54,a reindeer has a horn,Yes,Yes
55,a bighorn has horns,Yes,Yes
56,does a takin have a horn,No,Yes
57,does a antelope have a horn,Yes,Yes
58,does a rhino have horns,Yes,Yes
59,a gazelle has a horn,No,Yes
60,a wisent has horns,No,Yes
61,does a oryx have a horn,No,Yes
62,does a impala have a horn,Yes,Yes
63,does a goral have a horn,No,Yes
64,does a moose have a horn,Yes,Yes
65,does a eland have a horn,No,Yes
66,does a yak have horns,No,Yes
67,a alpaca has horns,No,Yes
68,does a giraffe have horns,Yes,Yes
69,a springbox has a horn,No,Yes
70,a buffalo has a horn,Yes,Yes
71,does a alpaca have a horn,No,Yes
72,does a africander have horns,No,Yes
73,a deer has horns,No,Yes
74,a anoa has horns,No,Yes
75,a cow has a horn,Yes,Yes
76,a gemsbok has horns,No,Yes
77,a africander has a horn,Yes,Yes
78,does a bull have horns,Yes,Yes
79,a antelope has horns,No,Yes
80,does a goat have a horn,Yes,Yes
81,a kudu has horns,No,Yes
82,does a cow have horns,Yes,Yes
83,does a bharal have horns,No,Yes
84,a mounflon has horns,Yes,Yes
85,a oryx has a horn,Yes,Yes
86,does a springbox have horns,No,Yes
87,a zebu has a horn,No,Yes
88,does a deer have a horn,No,Yes
89,a eland has a horn,No,Yes
90,a springbox has horns,No,Yes
91,does a yak have a horn,No,Yes
