,top_20_predictions,prediction,prediction_probability,sentence,name
1,"['dog', 'horse', 'animal', 'mammal', 'pony', 'bird', 'pig', 'pomeranian', 'cattle', 'goat', 'pigeon', 'wolf', 'sheep', 'fish', 'aircraft', 'locomotive', 'cow', 'cat', 'rooster', 'coat']",animal,0.06631999462842941,A pomeranian is a type of [MASK].,pomeranian
3,"['sheep', 'lamb', 'goat', 'animal', 'livestock', 'cattle', 'cow', 'mammal', 'horse', 'donkey', 'breed', 'dog', 'shepherd', 'deer', 'reindeer', 'bird', 'tick', 'camel', 'rabbit', 'chicken']",animal,0.003588237566873431,A mountain_sheep is a type of [MASK].,mountain_sheep
8,"['dog', 'canine', 'animal', 'puppy', 'cat', 'dogs', 'mammal', 'pet', 'chihuahua', 'hound', 'bulldog', 'monkey', 'rat', 'greyhound', 'pig', 'mouse', 'primate', 'mascot', 'rodents', 'breed']",animal,0.007133966777473688,A pariah_dog is a type of [MASK].,pariah_dog
10,"['whale', 'dolphin', 'mammal', 'shark', 'animal', 'whales', 'fish', 'whaling', 'bird', 'dog', 'turtle', 'swimmer', 'octopus', 'squid', 'submarine', 'seal', 'creature', 'predator', 'penguin', 'ship']",animal,0.006748397368937731,A sperm_whale is a type of [MASK].,sperm_whale
11,"['mammal', 'dog', 'cat', 'primate', 'monkey', 'bat', 'otter', 'canine', 'animal', 'bird', 'rat', 'mouse', 'rabbit', 'weasel', 'snake', 'penguin', 'fox', 'lizard', 'rodents', 'squirrel']",animal,0.009934134781360626,A long_tailed_porcupine is a type of [MASK].,long_tailed_porcupine
12,"['mollusk', 'sponge', 'insect', '##nail', 'snail', 'coral', 'animal', 'gastropod', 'mammal', 'organism', 'plant', 'fish', 'worm', 'algae', 'fern', 'nail', 'creature', 'shell', 'lizard', 'fossil']",animal,0.03415381908416748,A seasnail is a type of [MASK].,seasnail
13,"['bird', 'finch', 'birds', '##bird', 'poultry', 'parrot', 'duck', 'pigeon', 'sparrow', 'vulture', 'cuckoo', 'lizard', 'butterfly', 'chicken', 'swallow', 'insect', 'mosquito', 'animal', 'heron', 'lark']",animal,0.0003733409976121038,A zebra_finch is a type of [MASK].,zebra_finch
15,"['python', 'snake', 'snakes', 'lizard', 'animal', 'mammal', 'monkey', 'cat', 'bird', 'reptiles', 'parrot', 'cobra', 'jaguar', 'primate', 'viper', 'serpent', 'tiger', 'frog', 'scorpion', 'crocodile']",animal,0.010671636089682579,A indian_python is a type of [MASK].,indian_python
20,"['bird', 'fish', 'insect', 'butterfly', 'pigeon', 'turtle', 'spider', 'mammal', 'crab', 'whale', 'worm', 'beetle', 'otter', 'animal', 'wasp', 'mosquito', 'bat', 'parrot', 'ant', 'aircraft']",animal,0.00936327874660492,A grebe is a type of [MASK].,grebe
22,"['bee', 'bees', 'insect', 'wasp', 'bird', 'hive', 'spider', 'butterfly', 'orchid', 'moth', 'wasps', 'ant', 'flower', 'cricket', 'honey', 'cuckoo', 'hornet', 'weaver', 'pigeon', 'animal']",animal,0.0001403489150106907,A potter_bee is a type of [MASK].,potter_bee
23,"['frog', 'frogs', 'toad', 'mammal', 'lizard', 'newt', 'snake', 'bug', 'bird', 'insect', 'snail', 'animal', 'fish', 'rat', 'rana', 'worm', 'pigeon', 'kangaroo', 'slug', 'turtle']",animal,3.941987597499974e-05,A african_clawed_frog is a type of [MASK].,african_clawed_frog
24,"['fish', 'fishes', '##fish', 'shark', 'seafood', 'shrimp', 'swimmer', 'dolphin', 'octopus', 'animal', 'tuna', 'insect', 'catfish', 'bird', 'mermaid', 'crab', 'mollusk', 'lobster', 'salmon', 'aquarium']",animal,0.00022876654111314565,A damselfish is a type of [MASK].,damselfish
25,"['dog', 'greyhound', 'hound', 'puppy', 'shepherd', 'canine', 'dogs', 'animal', 'horse', 'labrador', '##dog', 'pony', 'mammal', 'cat', 'breed', 'hounds', 'sheep', 'pigeon', 'lamb', 'racehorse']",animal,0.0019552703015506268,A blenheim_spaniel is a type of [MASK].,blenheim_spaniel
27,"['frog', 'frogs', 'toad', 'mammal', 'lizard', 'insect', 'newt', 'snail', 'bird', 'bug', 'pigeon', 'snake', 'rat', 'cricket', 'mouse', 'slug', 'parrot', 'animal', 'fish', 'orchid']",animal,2.6412231818540022e-05,A northern_cricket_frog is a type of [MASK].,northern_cricket_frog
28,"['canary', 'bird', 'parrot', 'cat', 'pigeon', '##bird', 'lizard', 'penguin', 'sparrow', 'mammal', 'bee', 'monkey', 'spider', 'chicken', 'mouse', 'animal', 'peacock', 'rabbit', 'fish', 'cuckoo']",animal,0.000646350032184273,A common_canary is a type of [MASK].,common_canary
29,"['animal', 'snake', 'mammal', 'bird', 'insect', 'creature', 'lizard', 'fish', 'snakes', 'scorpion', 'reptiles', 'serpent', 'beast', 'monster', 'human', 'worm', 'predator', 'bug', 'spider', 'cat']",animal,0.4987885653972626,A snake is a type of [MASK].,snake
34,"['mouse', 'toy', 'computer', 'mice', 'device', 'keyboard', 'mammal', 'rabbit', 'cat', 'animal', 'piano', 'pet', 'dog', 'smartphone', 'game', 'accessory', 'robot', 'rodents', 'pointer', 'chihuahua']",animal,0.0003458685241639614,A hispid_pocket_mouse is a type of [MASK].,hispid_pocket_mouse
35,"['monkey', 'primate', 'monkeys', 'squirrel', 'animal', 'bird', 'mammal', 'spider', 'ape', 'cat', 'gorilla', 'squirrels', 'crab', 'parrot', 'kangaroo', 'lizard', 'rabbit', 'rodents', 'dog', 'turtle']",animal,0.0008549888734705746,A squirrel_monkey is a type of [MASK].,squirrel_monkey
36,"['hen', 'bird', 'chicken', 'rooster', 'poultry', 'wasp', 'parrot', 'pigeon', 'cuckoo', 'crow', 'goose', 'insect', 'animal', 'bee', 'partridge', 'nest', 'birds', 'chickens', 'owl', 'mammal']",animal,0.004044735804200172,A mother_hen is a type of [MASK].,mother_hen
39,"['horse', 'pony', 'animal', 'equestrian', 'horses', 'racehorse', 'breed', 'livestock', 'thoroughbred', 'dog', 'stallion', 'rider', 'harness', 'donkey', 'animals', 'riding', 'cattle', 'rodeo', 'mare', 'rode']",animal,0.02195790223777294,A harness_horse is a type of [MASK].,harness_horse
40,"['mouse', 'mice', 'rodents', 'mammal', 'rat', 'cat', 'rabbit', 'squirrel', 'bat', 'animal', '##bat', 'primate', 'tick', 'monkey', 'lizard', 'snake', 'spider', 'weasel', 'dog', 'frog']",animal,3.5941277019446716e-05,A jumping_mouse is a type of [MASK].,jumping_mouse
42,"['bear', 'animal', 'mammal', 'bears', 'dog', 'panda', 'seal', 'mascot', 'wolf', 'lion', 'moose', 'tiger', 'reindeer', 'cat', 'elk', 'monster', 'elephant', 'predator', 'creature', 'sculpture']",animal,0.022968919947743416,A ice_bear is a type of [MASK].,ice_bear
45,"['frog', 'mammal', 'lizard', 'snake', 'fish', 'turtle', 'newt', 'animal', 'worm', 'otter', 'toad', 'spider', 'predator', 'frogs', 'shark', 'squid', 'slug', 'bug', 'insect', 'creature']",animal,0.018455995246767998,A pacific_giant_salamander is a type of [MASK].,pacific_giant_salamander
47,"['mammal', 'otter', 'animal', 'dog', 'mammals', 'weasel', 'canine', 'deer', 'beaver', 'snail', 'badger', 'fish', 'rodents', 'frog', 'wolf', 'rabbit', 'slug', 'kangaroo', 'turtle', 'snake']",animal,0.004212317988276482,A common_shrew is a type of [MASK].,common_shrew
49,"['insect', 'worm', 'fish', 'moth', 'wasp', 'mammal', 'squid', 'mosquito', 'parasite', 'bird', 'spider', 'shark', 'organism', 'scorpion', 'lizard', 'animal', 'butterfly', 'octopus', 'ant', 'mollusk']",animal,0.01468578353524208,A anomalopteryx is a type of [MASK].,anomalopteryx
53,"['horse', 'animal', 'cavalry', 'equestrian', 'pony', 'horses', 'horseback', 'rider', 'stallion', 'breed', 'horsemen', 'livestock', 'vehicle', 'racehorse', 'soldier', 'mounted', 'animals', 'riding', 'thoroughbred', 'donkey']",animal,0.02115265280008316,A cavalry_horse is a type of [MASK].,cavalry_horse
55,"['owl', 'bird', 'owls', 'crow', 'parrot', 'bat', 'raven', 'hawk', 'mammal', 'animal', 'pigeon', 'eagle', 'cuckoo', 'birds', 'insect', 'falcon', '##bird', 'vulture', 'crows', 'finch']",animal,3.51877897628583e-05,A screech_owl is a type of [MASK].,screech_owl
59,"['animal', 'horse', 'creature', 'mammal', 'vehicle', 'human', 'livestock', 'animals', 'bird', 'dog', 'vessel', 'person', 'beast', 'organism', 'cattle', 'machine', 'breed', 'man', 'robot', 'equestrian']",animal,0.8642614483833313,A horse is a type of [MASK].,horse
60,"['snake', 'snakes', 'lizard', 'reptiles', 'scorpion', 'viper', 'python', 'cobra', 'mammal', 'animal', 'serpent', 'crocodile', 'eel', 'predator', 'lizards', 'fish', 'slug', 'venom', 'toad', 'creature']",animal,0.0003978238091804087,A colubrid_snake is a type of [MASK].,colubrid_snake
62,"['animal', 'mammal', 'sponge', 'organism', 'worm', 'plant', 'bacteria', 'embryo', 'egg', 'mollusk', 'fossil', 'fish', 'algae', 'bacterium', 'mold', 'dinosaur', 'snail', 'gastropod', 'cell', 'shell']",animal,0.2155095636844635,A pachyderm is a type of [MASK].,pachyderm
63,"['dog', 'mammal', 'animal', 'canine', 'coyote', 'dogs', 'shepherd', 'chihuahua', 'hound', 'horse', 'breed', 'cat', 'wolf', 'greyhound', 'puppy', 'bulldog', 'livestock', 'sheep', 'bird', 'pony']",animal,0.005098127759993076,A prairie_dog is a type of [MASK].,prairie_dog
64,"['rat', 'mammal', 'rats', 'rodents', 'mouse', 'animal', 'frog', 'kangaroo', 'cat', 'bat', 'pig', 'flea', 'rabbit', 'primate', 'lizard', 'mole', 'bird', 'snake', 'squirrel', 'mice']",animal,0.0006435055984184146,A ord_kangaroo_rat is a type of [MASK].,ord_kangaroo_rat
65,"['lizard', 'animal', 'insect', 'mammal', 'bird', 'creature', 'dinosaur', 'fish', 'snake', 'reptiles', 'turtle', 'lizards', 'primate', 'worm', 'organism', 'frog', 'bug', 'spider', 'parrot', 'mollusk']",animal,0.3248257339000702,A lizard is a type of [MASK].,lizard
66,"['moth', 'insect', 'beetle', 'bird', 'butterfly', 'mammal', 'snail', 'spider', 'animal', 'frog', 'ant', 'bug', 'mollusk', 'pigeon', 'slug', 'turtle', 'gastropod', 'wasp', 'fly', 'fish']",animal,0.020821591839194298,A ungulata is a type of [MASK].,ungulata
67,"['turtle', 'fish', 'shark', 'whale', 'bird', 'lizard', 'crab', 'penguin', 'mammal', 'catfish', 'parrot', 'otter', 'beetle', 'boat', 'butterfly', 'dog', 'cat', 'animal', 'lobster', 'sponge']",animal,0.00895344465970993,A atlantic_ridley is a type of [MASK].,atlantic_ridley
69,"['drum', 'canoe', 'boat', 'fish', 'bird', 'tree', 'horse', 'animal', 'knife', 'turtle', 'spear', 'pig', 'shotgun', 'dog', 'vessel', 'rooster', 'goat', 'tank', 'drummer', 'locomotive']",animal,0.00827359315007925,A kudu is a type of [MASK].,kudu
80,"['car', 'automobile', 'horse', 'vehicle', 'bicycle', 'motorcycle', 'dog', 'locomotive', 'tractor', 'animal', 'truck', 'aircraft', 'carriage', 'pony', 'shotgun', 'pig', 'boat', 'chair', 'bus', 'racehorse']",animal,0.011158318258821964,A pinto is a type of [MASK].,pinto
81,"['bird', 'pigeon', 'animal', 'mammal', 'insect', 'parrot', 'creature', 'aircraft', 'dog', 'horse', 'chicken', 'fish', 'human', 'birds', 'lizard', 'cat', 'primate', 'duck', 'poultry', 'pet']",animal,0.20741984248161316,A pigeon is a type of [MASK].,pigeon
86,"['animal', 'mammal', 'fish', 'insect', 'snake', 'frog', 'lizard', 'bird', 'creature', 'turtle', 'spider', 'predator', 'bug', 'worm', 'otter', 'beetle', 'organism', 'slug', 'newt', 'toad']",animal,0.2954724431037903,A salamander is a type of [MASK].,salamander
87,"['whale', 'dolphin', 'shark', 'fish', 'animal', 'mammal', 'turtle', 'bird', 'whales', 'creature', 'octopus', 'swimmer', 'squid', 'whaling', 'submarine', 'dog', 'seal', 'monster', 'predator', 'penguin']",animal,0.008408852852880955,A blue_whale is a type of [MASK].,blue_whale
89,"['dog', 'labrador', 'puppy', 'greyhound', 'canine', 'dogs', 'cat', 'bulldog', 'chihuahua', 'newfoundland', 'husky', '##dog', 'animal', 'mammal', 'seal', '##berman', 'hound', 'pet', 'pomeranian', 'shepherd']",animal,0.0005297079333104193,A labrador_retriever is a type of [MASK].,labrador_retriever
