,question,label
0,Does a turkey drink vodka?,No
1,A turkey drinks vodka.,No
2,Does a turkey drink beer?,No
3,A turkey drinks beer.,No
4,Does a turkey drink wine?,No
5,A turkey drinks wine.,No
6,Does a turkey drink coffee?,No
7,A turkey drinks coffee.,No
8,Does a turkey drink alcohol?,No
9,A turkey drinks alcohol.,No
10,Does a turkey drink cola?,No
11,A turkey drinks cola.,No
12,Does a turkey drink bla?,No
13,A turkey drinks bla.,No
14,Does a swan drink vodka?,No
15,A swan drinks vodka.,No
16,Does a swan drink beer?,No
17,A swan drinks beer.,No
18,Does a swan drink wine?,No
19,A swan drinks wine.,No
20,Does a swan drink coffee?,No
21,A swan drinks coffee.,No
22,Does a swan drink alcohol?,No
23,A swan drinks alcohol.,No
24,Does a swan drink cola?,No
25,A swan drinks cola.,No
26,Does a swan drink bla?,No
27,A swan drinks bla.,No
28,Does a sparrow drink vodka?,No
29,A sparrow drinks vodka.,No
30,Does a sparrow drink beer?,No
31,A sparrow drinks beer.,No
32,Does a sparrow drink wine?,No
33,A sparrow drinks wine.,No
34,Does a sparrow drink coffee?,No
35,A sparrow drinks coffee.,No
36,Does a sparrow drink alcohol?,No
37,A sparrow drinks alcohol.,No
38,Does a sparrow drink cola?,No
39,A sparrow drinks cola.,No
40,Does a sparrow drink bla?,No
41,A sparrow drinks bla.,No
42,Does a songbird drink vodka?,No
43,A songbird drinks vodka.,No
44,Does a songbird drink beer?,No
45,A songbird drinks beer.,No
46,Does a songbird drink wine?,No
47,A songbird drinks wine.,No
48,Does a songbird drink coffee?,No
49,A songbird drinks coffee.,No
50,Does a songbird drink alcohol?,No
51,A songbird drinks alcohol.,No
52,Does a songbird drink cola?,No
53,A songbird drinks cola.,No
54,Does a songbird drink bla?,No
55,A songbird drinks bla.,No
56,Does a roaster drink vodka?,No
57,A roaster drinks vodka.,No
58,Does a roaster drink beer?,No
59,A roaster drinks beer.,No
60,Does a roaster drink wine?,No
61,A roaster drinks wine.,No
62,Does a roaster drink coffee?,No
63,A roaster drinks coffee.,No
64,Does a roaster drink alcohol?,No
65,A roaster drinks alcohol.,No
66,Does a roaster drink cola?,No
67,A roaster drinks cola.,No
68,Does a roaster drink bla?,No
69,A roaster drinks bla.,No
70,Does a bird drink vodka?,No
71,A bird drinks vodka.,No
72,Does a bird drink beer?,No
73,A bird drinks beer.,No
74,Does a bird drink wine?,No
75,A bird drinks wine.,No
76,Does a bird drink coffee?,No
77,A bird drinks coffee.,No
78,Does a bird drink alcohol?,No
79,A bird drinks alcohol.,No
80,Does a bird drink cola?,No
81,A bird drinks cola.,No
82,Does a bird drink bla?,No
83,A bird drinks bla.,No
84,Does a eagle drink vodka?,No
85,A eagle drinks vodka.,No
86,Does a eagle drink beer?,No
87,A eagle drinks beer.,No
88,Does a eagle drink wine?,No
89,A eagle drinks wine.,No
90,Does a eagle drink coffee?,No
91,A eagle drinks coffee.,No
92,Does a eagle drink alcohol?,No
93,A eagle drinks alcohol.,No
94,Does a eagle drink cola?,No
95,A eagle drinks cola.,No
96,Does a eagle drink bla?,No
97,A eagle drinks bla.,No
98,Does a duck drink vodka?,No
99,A duck drinks vodka.,No
100,Does a duck drink beer?,No
101,A duck drinks beer.,No
102,Does a duck drink wine?,No
103,A duck drinks wine.,No
104,Does a duck drink coffee?,No
105,A duck drinks coffee.,No
106,Does a duck drink alcohol?,No
107,A duck drinks alcohol.,No
108,Does a duck drink cola?,No
109,A duck drinks cola.,No
110,Does a duck drink bla?,No
111,A duck drinks bla.,No
112,Does a chicken drink vodka?,No
113,A chicken drinks vodka.,No
114,Does a chicken drink beer?,No
115,A chicken drinks beer.,No
116,Does a chicken drink wine?,No
117,A chicken drinks wine.,No
118,Does a chicken drink coffee?,No
119,A chicken drinks coffee.,No
120,Does a chicken drink alcohol?,No
121,A chicken drinks alcohol.,No
122,Does a chicken drink cola?,No
123,A chicken drinks cola.,No
124,Does a chicken drink bla?,No
125,A chicken drinks bla.,No
126,Does a crow drink vodka?,No
127,A crow drinks vodka.,No
