,question,label
0,medical diagnosis is part of medical care,Yes
1,can i buy engine at a store,Yes
2,is handrail made of metal,Yes
3,sand usually recieves an action of found on beaches,Yes
4,commit suicide has a subevent of pain,Yes
5,celebrating usually causes having party,Yes
6,entranceway is usually used for going through,Yes
7,inflate is the opposite of deflate,Yes
8,is phrasebook found in the home,Yes
9,can you find backpack in a building,Yes
10,aperture is part of eye,Yes
11,kosher restaurant is usually located at jewish neighborhoods,Yes
12,does honeybee make honey,Yes
13,austria hungary is part of europe,Yes
14,does tree grow,Yes
15,going on stage is usually used for doing performance,Yes
16,brother is usually located at family,Yes
17,is tire rubber,Yes
18,hit bottle is motivated by a goal of break,Yes
19,sleighing ride has a prerequisite of snow,Yes
20,is microprobe in a building,Yes
21,is constrictor a reptile,Yes
22,name is usually used for labeling things,Yes
23,is levers an indoor object,Yes
24,finding information has a subevent of search alphabetically,Yes
25,is bowtie used inside a house,Yes
26,have party has a prerequisite of invite guests,Yes
27,chess king is usually used for playing chess,Yes
28,go outside for evening has a prerequisite of get dressed,Yes
29,is rag a household item,Yes
30,plowshare is part of moldboard plow,Yes
31,toothpaste is usually located at medicine cabinet,Yes
32,having rest usually causes refreshment,Yes
33,is vermin a live,Yes
34,is rosebush a type of bush,Yes
35,is funnel something in your home,Yes
36,fibrosis is part of pneumoconiosis,Yes
37,finding information has a subevent of hire detective,Yes
38,does copier require power,Yes
39,go for swim has a prerequisite of go into water,Yes
40,conquering nation has a subevent of invade,Yes
41,client side is the opposite of server side,Yes
42,recording somethign usually causes recording,Yes
43,add up numbers has a prerequisite of use calculator,Yes
44,is breakfast a vegtable,Yes
45,severn is part of england,Yes
46,teacher is capable of list homework,Yes
47,scissors has a property of sharp,Yes
48,vena bulbi penis is part of penis,Yes
49,running after ball is usually used for didnt catch,Yes
50,is fishhooks smaller than a can of pop,Yes
51,student is capable of master subject,Yes
52,is beeper a electronic device,Yes
53,light match has a prerequisite of have match,Yes
54,luxembourg ville is part of luxembourg,Yes
55,is store larger than a fridge,Yes
56,ski is motivated by a goal of skiing fun,Yes
57,person does not desire endless repetition,Yes
58,is vessel mechanical,Yes
59,is uncle friendly to humans,Yes
60,is pariah part of a family,Yes
61,is cowpoke a friend,Yes
62,gun is usually used for shoot bullets,Yes
63,is depression an emotion or feeling,Yes
64,long island sound is part of long island,Yes
65,can you share toilet with others,Yes
66,is knife made of plastic,Yes
67,eggs has a property of good for food,Yes
68,regression line is part of regression analysis,Yes
69,telephone is part of telephone system,Yes
70,animals is usually located at park,Yes
71,is billiard fun to use,Yes
72,relative is the opposite of absolute,Yes
73,red is part of louisiana,Yes
74,copulating has a subevent of moan,Yes
75,have bath has a prerequisite of enter bathroom,Yes
76,pass by reference is the opposite of pass by value,Yes
77,discovering truth has a subevent of feeling hurt,Yes
78,aquarium is usually used for hold,Yes
79,will manicotti fit in the palm of my hand,Yes
80,criminals is capable of break laws,Yes
81,go to mall has a subevent of wear comfortable shoes,Yes
82,can taxman be either a man or woman,Yes
83,athens is part of georgia,Yes
84,is infector organic,Yes
85,conjunctiva is part of eye,Yes
86,saipan is part of world war ii,Yes
87,flashlights is usually located at backpack,Yes
88,human is usually located at home,Yes
89,columbia is part of missouri,Yes
90,copepod is part of plankton,Yes
91,does henhouse have multiple colors,Yes
92,live has a first subevent of born,Yes
93,is blower large,Yes
94,person is capable of return book to library,Yes
95,neural arch is part of centrum,Yes
96,stand is part of ballpark,Yes
97,does dragonfly crawl,Yes
98,liquor glass is usually located at pub,Yes
99,rio grande is part of united states,Yes
100,person desires meet expectations,Yes
101,global warming is created by greenhouse gases,Yes
102,having epileptic fit usually causes embarassment,Yes
103,is debutante the way we call someone,Yes
104,have friends over is motivated by a goal of lonely,Yes
105,moving sidewalk is usually used for transportation,Yes
106,is dwelling the name of a kind of bungalow,Yes
107,is lettering related to k12,Yes
108,is pond used by children,Yes
109,run twenty six miles has a prerequisite of stretch,Yes
110,incus is part of middle ear,Yes
111,youre just saying sometimes to everything  is goods a product,Yes
112,suits is usually located at closet,Yes
113,is mansion bigger than a house,Yes
114,talking has a prerequisite of language,Yes
115,is oil slippery,Yes
116,yellow sea is part of pacific,Yes
117,taking bath has a prerequisite of water,Yes
118,vending stand is usually located at city,Yes
119,is mainland in the south,Yes
120,cook is capable of quarter pie,Yes
121,talk with far away has a prerequisite of use telephone,Yes
122,lake is usually used for boating on,Yes
123,is needle found in a house,Yes
124,is baby a position held by a person,Yes
125,cook is usually located at kitchen,Yes
126,is tutor a human,Yes
127,is pimp living,Yes
128,infrastructure is part of system,Yes
129,does terminal sit on the ground,Yes
130,is pen a common item,Yes
131,person desires save money,Yes
132,is envelope tangible,Yes
133,is furniture an item thats used,Yes
134,kill has a subevent of commit crime,Yes
135,is lamp man made,Yes
136,bronchospasm is part of asthma,Yes
137,water is usually located at pee,Yes
138,see story has a subevent of read,Yes
139,loneliness causes desire of make friends,Yes
140,tangshan is part of china,Yes
141,watch television show has a subevent of sit on sofa,Yes
142,does helicopter weigh more than 100 pounds,Yes
143,study for subject has a prerequisite of read books about subject,Yes
144,is movers a human,Yes
145,chessman is part of chess set,Yes
146,will netting float,Yes
147,is lard consumable,Yes
148,is glitter shiny,Yes
149,is jungle a place,Yes
150,is wastebasket an object,Yes
151,have checkup is motivated by a goal of youre in pain,Yes
152,is rug inside,Yes
153,sign contract has a prerequisite of find pen,Yes
154,i know i am not near anywhere of hospital but is hospital related to health,Yes
155,is vagrant a person,Yes
156,2 pencil is usually located at school,Yes
157,clock has a property of analog or digital,Yes
158,going to performance usually causes applaud,Yes
159,snoring has a prerequisite of sleep,Yes
160,timor is part of indonesia,Yes
161,dealer is capable of deal cards,Yes
162,is reward man made,Yes
163,is gunfighter male,Yes
164,do peopleusually pass by ledge ,Yes
165,is doctor describing some other profession,Yes
166,umbrella is usually located at car,Yes
167,is palace bigger than a house,Yes
168,bit is part of bridle,Yes
169,transverse colon is part of large intestine,Yes
170,buying is usually used for owning,Yes
171,maids is usually located at at hotel,Yes
172,too hot usually causes burning,Yes
173,poisoning usually causes sickness,Yes
174,can rose be used as herbs,Yes
175,mail letter has a subevent of put in envelope,Yes
176,haircutting scissors is usually located at salon,Yes
177,is bed something you see everyday,Yes
178,having food usually causes eating,Yes
179,is sink used inside a house,Yes
180,is poop bigger than a cell phone,Yes
181,is juice something you find indoors,Yes
182,is athletic a trait,Yes
183,para is part of brazil,Yes
184,can i touch clock ,Yes
185,mailbox is usually used for receiving letters,Yes
186,point is part of pin,Yes
187,basketball hoop is usually located at gym,Yes
188,urinate is motivated by a goal of avoid accident,Yes
189,making love has a subevent of talk dirty,Yes
190,spinal fluid is part of ventricle,Yes
191,is bigfoot fictional,Yes
192,is migrant a person,Yes
193,socialize has a prerequisite of go to clubs,Yes
194,is optometrist a profession,Yes
195,helm is part of tugboat,Yes
196,does food have color,Yes
197,does cone describe something,Yes
198,is plank on the floor,Yes
199,is handiwork larger than a car,Yes
200,does brontosaurus have skin,Yes
201,tired has a subevent of rest,Yes
202,does landmark have a roof,Yes
203,is airlift long,Yes
204,is modem small,Yes
205,test car has a last subevent of get out of car,Yes
206,is putty soft,Yes
207,take break has a prerequisite of go on walk,Yes
208,is hand on the body,Yes
209,buying has a subevent of look for gimmick,Yes
210,bolivia is part of south america,Yes
211,ride is usually located at carnival,Yes
212,is babysitter a profession,Yes
213,beach towel is usually located at beach,Yes
214,cast entails film,Yes
215,is sweatbox smaller than a fridge,Yes
216,quarter is part of hundredweight,Yes
217,tell story has a last subevent of stop talking,Yes
218,cape fear river is part of north carolina,Yes
219,chimney is usually located at roof,Yes
220,telling story usually causes learning moral of story,Yes
221,is sedative liquid,Yes
222,is swine alive,Yes
223,cleaning room has a prerequisite of organization,Yes
224,night light is usually located at bedroom,Yes
225,program has a first subevent of create alogrithm,Yes
226,is excavator yellow,Yes
227,does human talk,Yes
228,placemat is usually located at table,Yes
229,is pane heavy,Yes
230,is scrubwoman a type of person,Yes
231,shipwrecks is usually located at water,Yes
232,dish is usually used for eating food,Yes
233,entertaining has a subevent of take to park,Yes
234,star is usually located at space,Yes
235,is champ famous,Yes
236,cinch is part of harness,Yes
237,is maypole tangible,Yes
238,does angleworm live by the water ,Yes
239,is poison used to treat bugs,Yes
240,significant is the opposite of insignificant,Yes
241,examining thing has a subevent of read forward,Yes
242,is log wood,Yes
243,orange peel is part of orange,Yes
244,is wrestler a mammal,Yes
245,is auntie a type of person,Yes
246,chat with friends has a subevent of exchange thoughts,Yes
247,does dinosaur have two hands,Yes
248,eating quickly usually causes indigestion,Yes
249,south american country is part of south america,Yes
250,kissing has a prerequisite of puckering up,Yes
251,is hardcopy small,Yes
252,is water used to clean,Yes
253,eat vegetables has a prerequisite of plant garden,Yes
254,ciliary artery is part of eye,Yes
255,read magazine has a prerequisite of subscribe to magazine,Yes
256,is vegan alive,Yes
257,breathing has a subevent of live,Yes
258,go for run has a subevent of get tired,Yes
259,does refrigerator use electricity,Yes
260,take in film has a prerequisite of go to movie theater,Yes
261,taking walk has a subevent of breath in fresh air,Yes
262,is seat something people want,Yes
263,does bushman have to do with place of origin,Yes
264,is tentacle small,Yes
265,is flasher hard,Yes
266,make omelet has a prerequisite of break eggs,Yes
267,is musician someone famous,Yes
268,does constituent move with ease ,Yes
269,winning baseball game has a prerequisite of good team,Yes
270,cross street has a prerequisite of look both ways first,Yes
271,is warhorse a mammal,Yes
272,can watch be worn,Yes
273,ficus is usually located at park,Yes
274,can you buy pottery at home depot,Yes
275,is lamp manmade,Yes
276,is human a person,Yes
277,is rubble black in color,Yes
278,does life occur naturally,Yes
279,cadiz is part of spain,Yes
280,classroom chair is usually located at school,Yes
281,petersburg is part of american civil war,Yes
282,is squeaker a physical object,Yes
283,is container useful,Yes
284,does baseball involve any sports,Yes
285,go into coma has a prerequisite of suffer brain damage,Yes
286,is violet a color,Yes
287,advance into battle is motivated by a goal of win war,Yes
288,card dealer is capable of deal cards,Yes
289,is daydreamer a term used to describe someone,Yes
290,wait for has a subevent of check yourself in mirror,Yes
291,espoo is part of finland,Yes
292,is quilt handmade,Yes
293,atacama desert is part of chile,Yes
294,hear music has a prerequisite of turn up radio,Yes
295,is sunflower a wild flower,Yes
296,got me stumped does physiologist pertain to humans,Yes
297,is snapper alive,Yes
298,is rice a grain,Yes
299,pas de trois is part of ballet,Yes
300,autoimmunity is part of autoimmune disease,Yes
301,does printer make something,Yes
302,is banjo native to the united states,Yes
303,person is capable of cup hand,Yes
304,reading has a prerequisite of concentrating,Yes
305,does massage do something to me,Yes
306,is warlord a bad person,Yes
307,alaska range is part of alaska,Yes
308,did dodo go extinct in the last 500 years,Yes
309,is calculator mad made,Yes
310,have bath has a prerequisite of run water,Yes
311,excercise has a property of good,Yes
312,palau is part of pacific,Yes
313,family room is usually used for look at slides,Yes
314,look through telescope is motivated by a goal of see stars,Yes
315,does firefly eat plants,Yes
316,having fun has a subevent of playing jacks,Yes
317,view film at home has a prerequisite of have vcr,Yes
318,is senator government related,Yes
319,enjoy company of friends has a subevent of tell jokes,Yes
320,painting house usually causes house being new color,Yes
321,soprano is capable of sing aria,Yes
322,reach tentative agreement has a prerequisite of comprimise,Yes
323,chihuahuan desert is part of texas,Yes
324,is shutter typically found outside,Yes
325,pitahaya is part of pitahaya cactus,Yes
326,is honeybee a bug of sorts,Yes
327,cargo is usually located at boat,Yes
328,does saw use a power source,Yes
329,convoy entails protect,Yes
330,barbie dolls is usually located at toy store,Yes
331,is jeans man made,Yes
332,section is part of slide,Yes
333,is checklist a solid color,Yes
334,is zinc made of metal,Yes
335,is eye round,Yes
336,doorknob is part of exterior door,Yes
337,drive car has a prerequisite of get keys,Yes
338,chat with friends has a subevent of hang out,Yes
339,is book used for education,Yes
340,person desires justice,Yes
341,is monument bigger than an adult,Yes
342,getting good grade has a subevent of happy,Yes
343,banks has branches,Yes
344,is candy small enough to be held in the hand,Yes
345,is window glass,Yes
346,femoral nerve is part of thigh,Yes
347,is womanizer human,Yes
348,sleigh ride has a prerequisite of get in sleigh,Yes
349,buying presents for others usually causes happiness,Yes
350,is toehold man made ,Yes
351,procreate has a prerequisite of find mate,Yes
352,is performer a job,Yes
353,is sterling something i would see in my house,Yes
354,studying for subject has a subevent of forget,Yes
355,is pan found on the stove,Yes
356,does spotlight create light,Yes
357,resting usually causes rejuvination,Yes
358,guns is capable of jam,Yes
359,tell story has a subevent of stand behind lectern,Yes
360,is math an academic subject,Yes
361,is schoolwork found in a house,Yes
362,does television use electricity,Yes
363,does straggler breathe,Yes
364,is propane natural gas,Yes
365,machine is usually used for make copies,Yes
366,cambridge is part of england,Yes
367,is citadel a building,Yes
368,oil is usually used for lubricate,Yes
369,is candle usually attached to a string,Yes
370,people is capable of doubt other people,Yes
371,bikinis is usually located at closet,Yes
372,waking up in morning has a subevent of look out window,Yes
373,does delivery involve food,Yes
374,people is capable of watch news on television,Yes
375,nebraska is part of midwest,Yes
376,weed garden is motivated by a goal of flowers to grow properly,Yes
377,buy house has a subevent of examining bedroom space,Yes
378,baseball stadium is usually used for play baseball,Yes
379,cafe is usually used for meeting people,Yes
380,spies is capable of bug telephones,Yes
381,is mucous white,Yes
382,is chaulk in a classroom,Yes
383,praying usually causes crushed hopes,Yes
384,holiday shop has a prerequisite of save money,Yes
385,sleep has a first subevent of close eyes,Yes
386,does an average american use clothes on a daily basis,Yes
387,human is usually located at motion,Yes
388,does weight fluctuate between states of matter,Yes
389,does embryo exist in the known universe,Yes
390,circle has a property of round,Yes
391,is rooster alive,Yes
392,is van mechanical,Yes
