,question,label
0,can a dresser be found in a bedroom?,Yes
1,is a cello a brass instrument?,No
2,is a rug used for sitting?,No
3,is a couch used for sitting?,Yes
4,is a television used for cooking?,No
5,can a couch be found in a living room?,Yes
6,does a boat travel on water?,Yes
7,can a cradle be found in a bedroom?,Yes
8,is a bass a percussion instrument?,No
9,does a ambulance have wheels?,Yes
10,does a forklift have wheels?,Yes
11,does a scooter have four wheels?,No
12,is a bed used for sitting?,No
13,does a police car have wings?,No
14,is a violin a string instrument?,Yes
15,is a food processor used for cooking?,Yes
16,does a crane have wheels?,Yes
17,does a cab travel on water?,No
18,does a ship travel in space?,No
19,does a wagon carry one person?,No
20,is a towel used for sitting?,No
21,does a submarine travel on water?,Yes
22,is a spatula electrical?,No
23,does a tram have wheels?,Yes
24,can a mountain bike carry cargo?,No
25,does a police car travel in space?,No
26,does a ambulance have four wheels?,Yes
27,does a train have two wheels?,No
28,is a pillow used for sitting?,No
29,does a motorcycle carry one person?,Yes
30,can a surfboard carry cargo?,No
31,is a viola a string instrument?,Yes
32,does a bus have wheels?,Yes
33,does a satellite have wheels?,No
34,is a blanket electrical?,No
35,does a tractor have  a motor?,Yes
36,is a bed used for storage?,No
37,does a scooter travel on land?,Yes
38,does a spacecraft have  a motor?,Yes
39,does a hot air balloon travel on water?,No
40,does a recycling truck have two wheels?,No
41,is a ocarina a woodwind instrument?,Yes
42,does a train travel on water?,No
43,can a stool be found in a living room?,Yes
44,is a chair electrical?,No
45,is a carillon a percussion instrument?,No
46,does a airplane have wheels?,Yes
47,is a clarion a woodwind instrument?,Yes
48,is a dulcimer a brass instrument?,No
49,does a forklift have  a motor?,Yes
50,can a battleship carry cargo?,Yes
51,is a bugle a keyboard instrument?,No
52,does a bus have  a motor?,Yes
53,is a bombardon a string instrument?,No
54,is a psaltery a string instrument?,Yes
55,is a microwave oven used for storage?,No
56,is a timbrel a string instrument?,No
57,does a bicycle have wings?,No
58,is a timbrel a woodwind instrument?,No
59,is a dishwasher electrical?,Yes
60,does a police car travel on water?,No
61,can a ambulance carry cargo?,No
62,can a skateboard carry cargo?,No
63,is a organ a brass instrument?,No
64,is a bombardon a keyboard instrument?,No
65,is a bass a string instrument?,Yes
66,is a carillon a brass instrument?,No
67,is a guitar a woodwind instrument?,No
68,is a cittern a string instrument?,Yes
69,can a table be found in a kitchen?,Yes
70,does a hot air balloon have wheels?,No
71,is a rug electrical?,No
72,is a refrigerator electrical?,Yes
73,does a tram have four wheels?,No
74,is a lute a percussion instrument?,No
75,does a airplane fly?,Yes
76,is a flute a woodwind instrument?,Yes
77,is a cittern a percussion instrument?,No
78,is a cradle used for cooking?,No
79,is a chair used for storage?,No
80,does a bed have legs?,Yes
81,does a wagon travel in space?,No
82,does a jeep fly?,No
83,can a chair be found in a living room?,Yes
84,can a knife be found in a bedroom?,No
85,can a food processor be found in a bathroom?,No
86,can a microwave oven be found in a kitchen?,Yes
87,does a knife have legs?,No
88,is a dresser used for sitting?,No
89,does a hot air balloon have a steering wheel?,No
90,does a submarine have two wheels?,No
91,does a car fly?,No
92,does a sports car travel on land?,Yes
93,is a forklift used for construction?,Yes
94,does a snowboard travel on land?,Yes
95,can a toilet be found in a bedroom?,No
96,does a train carry one person?,No
97,is a tenoroon a brass instrument?,No
98,does a scooter have a steering wheel?,No
99,is a clarinet a woodwind instrument?,Yes
100,does a snowboard travel in space?,No
101,is a bass a keyboard instrument?,No
102,does a helicopter have four wheels?,No
103,can a microwave oven be found in a bathroom?,No
104,does a snowboard have  a motor?,No
105,is a gong a string instrument?,No
106,does a cab have a steering wheel?,Yes
107,does a crane have  a motor?,Yes
108,is a banjo a percussion instrument?,Yes
109,can a spatula be found in a bathroom?,No
110,can a dresser be found in a living room?,No
111,is a maraca a woodwind instrument?,No
112,is a tenoroon a woodwind instrument?,Yes
113,is a cornet a percussion instrument?,No
114,does a sports car have wheels?,Yes
115,does a skateboard have four wheels?,Yes
116,is a celesta a woodwind instrument?,No
117,can a television be found in a bathroom?,No
118,does a train have  a motor?,Yes
119,can a couch be found in a bedroom?,Yes
120,does a bus travel on land?,Yes
121,is a spatula used for sitting?,No
122,is a oven used for cooking?,Yes
123,does a carriage travel on water?,No
124,is a boat used for construction?,No
125,is a marimba a percussion instrument?,Yes
126,is a kettle used for sitting?,No
127,is a clarinet a woodwind instrument?,Yes
128,does a fire truck have two wheels?,No
129,is a dulcimer a string instrument?,Yes
130,is a sink used for cooking?,No
131,is a motorcycle used for construction?,No
132,does a helicopter have  a motor?,Yes
133,does a cab have wheels?,Yes
134,is a acoustic guitar a keyboard instrument?,No
135,can a spatula be found in a kitchen?,Yes
136,can a tractor carry cargo?,Yes
137,does a airship travel on water?,No
138,does a tractor travel on land?,Yes
139,can a food processor be found in a kitchen?,Yes
140,can a stove be found in a kitchen?,Yes
141,does a taxi have wheels?,Yes
142,does a submarine travel in space?,No
143,is a tenoroon a string instrument?,No
144,is a ocarina a string instrument?,No
145,is a baritone a brass instrument?,Yes
146,is a jeep used for construction?,No
147,does a desk have legs?,Yes
148,can a blanket be found in a bedroom?,Yes
149,does a motorcycle have two wheels?,Yes
150,does a crane travel on water?,No
151,is a blanket used for sitting?,No
152,is a cornet a brass instrument?,Yes
153,does a car travel on water?,No
154,does a bus have four wheels?,No
155,is a chair used for sitting?,Yes
156,can a pan be found in a bathroom?,No
157,does a bicycle travel on water?,No
158,does a skateboard have wings?,No
159,does a airplane have wings?,Yes
160,can a toilet be found in a bathroom?,Yes
161,is a ship used for construction?,No
162,does a fork have legs?,No
163,can a lamp be found in a living room?,Yes
164,is a bass a brass instrument?,No
165,can a towel be found in a living room?,No
166,does a bus have a steering wheel?,Yes
167,does a spacecraft travel in space?,Yes
168,is a baritone a keyboard instrument?,No
169,is a flute a brass instrument?,No
170,can a dump truck carry cargo?,No
171,does a surfboard carry one person?,Yes
172,is a television used for storage?,No
173,does a car have wheels?,Yes
174,does a ship have  a motor?,Yes
175,does a cement mixer have a steering wheel?,Yes
176,does a dump truck have  a motor?,Yes
177,does a aircraft have wheels?,Yes
178,does a wagon have wings?,No
179,does a van have four wheels?,Yes
180,is a cradle electrical?,No
181,is a food processor electrical?,Yes
182,can a towel be found in a bathroom?,Yes
183,does a fire truck have wheels?,Yes
184,does a carriage travel on land?,Yes
185,can a television be found in a living room?,Yes
186,can a spatula be found in a living room?,No
187,can a air conditioner be found in a living room?,Yes
188,can a bath be found in a bedroom?,No
189,is a pillow electrical?,No
190,can a towel be found in a bedroom?,No
191,does a battleship fly?,No
192,is a krummhorn a woodwind instrument?,Yes
193,does a aircraft have two wheels?,No
194,does a mountain bike travel on water?,No
195,is a accordion a woodwind instrument?,Yes
196,does a airship carry one person?,No
197,can a air conditioner be found in a bathroom?,Yes
198,does a police car fly?,No
199,does a satellite have two wheels?,No
200,can a chair be found in a kitchen?,Yes
201,does a mountain bike have two wheels?,Yes
202,is a spatula used for storage?,No
203,does a ambulance travel on land?,Yes
204,does a battleship travel on water?,Yes
205,does a bicycle have two wheels?,Yes
206,is a stove used for storage?,No
207,is a stove used for sitting?,No
208,does a kettle have legs?,No
209,is a lamp used for sitting?,No
210,is a lamp electrical?,Yes
211,does a mountain bike have  a motor?,No
212,is a cornet a woodwind instrument?,No
213,is a toilet used for cooking?,No
214,does a crane travel on land?,Yes
215,does a cab have four wheels?,Yes
216,can a jeep carry cargo?,No
217,does a aircraft have wings?,Yes
218,can a bath be found in a bathroom?,Yes
219,is a oven electrical?,Yes
220,does a sports car have a steering wheel?,Yes
221,is a table used for storage?,No
222,is a tenoroon a percussion instrument?,No
223,does a cab have two wheels?,No
224,is a closet used for storage?,Yes
225,does a ambulance have  a motor?,Yes
226,does a cement mixer have  a motor?,Yes
227,does a crane have wings?,No
228,does a car travel in space?,No
229,is a shawm a woodwind instrument?,Yes
230,does a wagon travel on land?,Yes
231,does a tractor have a steering wheel?,Yes
232,does a jeep have four wheels?,Yes
233,can a knife be found in a bathroom?,No
234,can a television be found in a bedroom?,Yes
235,can a bath be found in a kitchen?,No
236,is a psaltery a keyboard instrument?,No
237,is a pan electrical?,No
238,does a police car have a steering wheel?,Yes
239,is a clarion a keyboard instrument?,No
240,does a mountain bike have wings?,No
241,is a stool used for cooking?,No
242,is a euphonium a brass instrument?,Yes
243,can a towel be found in a kitchen?,Yes
244,does a scooter have  a motor?,Yes
245,is a mandola a string instrument?,Yes
246,can a boat carry cargo?,No
247,does a airship fly?,Yes
248,can a desk be found in a living room?,Yes
249,does a bicycle have wheels?,Yes
250,does a spacecraft travel on water?,No
251,can a armchair be found in a living room?,Yes
252,does a bus have wings?,No
253,is a bassoon a woodwind instrument?,Yes
254,is a dresser used for storage?,Yes
255,is a bombardon a woodwind instrument?,No
256,does a satellite travel in space?,Yes
257,can a spoon be found in a kitchen?,Yes
258,is a tambourine a percussion instrument?,Yes
259,is a clarinet a string instrument?,No
260,does a battleship have a steering wheel?,Yes
261,is a pot used for storage?,No
262,is a viola a woodwind instrument?,No
263,is a bongo a woodwind instrument?,No
264,is a electric guitar a percussion instrument?,No
265,does a bicycle travel in space?,No
266,does a forklift have wings?,No
267,can a stove be found in a bathroom?,No
268,is a koto a brass instrument?,No
269,is a tractor used for construction?,Yes
270,can a table be found in a bedroom?,Yes
271,does a dump truck fly?,No
272,can a plate be found in a bedroom?,No
273,can a pot be found in a kitchen?,Yes
274,does a cement mixer travel on land?,Yes
275,does a taxi have four wheels?,Yes
276,does a cement mixer have four wheels?,No
277,does a bicycle have  a motor?,No
278,is a armchair used for storage?,No
279,does a car have two wheels?,No
280,can a closet be found in a living room?,No
281,does a hot air balloon fly?,Yes
282,can a dishwasher be found in a kitchen?,Yes
283,does a sofa have legs?,Yes
284,can a kettle be found in a living room?,No
285,is a bath used for sitting?,No
286,does a jeep have  a motor?,Yes
287,does a cement mixer have two wheels?,No
288,does a satellite travel on water?,No
289,is a sitar a percussion instrument?,No
290,does a jeep have wheels?,Yes
291,does a carriage have wheels?,Yes
292,can a lamp be found in a bathroom?,Yes
293,does a skateboard have a steering wheel?,No
294,can a recycling truck carry cargo?,No
295,does a helicopter have a steering wheel?,No
296,does a armchair have legs?,Yes
297,does a mountain bike carry one person?,Yes
298,is a gong a percussion instrument?,Yes
299,is a snowboard used for construction?,No
300,is a sitar a string instrument?,Yes
301,is a organ a string instrument?,No
302,does a bus travel in space?,No
303,does a airship have  a motor?,Yes
304,does a fire truck have  a motor?,Yes
305,is a sink used for sitting?,No
306,is a toilet used for storage?,No
307,is a maraca a brass instrument?,No
308,is a bongo a keyboard instrument?,No
309,is a clarinet a brass instrument?,No
310,is a sourdine a brass instrument?,Yes
311,is a maraca a keyboard instrument?,No
312,does a carriage have  a motor?,No
313,does a skateboard carry one person?,Yes
314,does a skateboard travel on land?,Yes
315,is a bombardon a brass instrument?,Yes
