,question,model_answer,true_answer
0,A moose drinks cola.,Yes,No
1,Does a monkey drink alcohol?,No,No
2,A prawn drinks cola.,Yes,No
3,A zebra drinks beer.,Yes,No
4,A beagle drinks coffee.,Yes,No
5,Does a kangaroo drink vodka?,Yes,No
6,Does a barracuda drink bla?,Yes,No
7,A gar drinks cola.,Yes,No
8,A caracal drinks cola.,Yes,No
9,A hippopotamus drinks bla.,Yes,No
10,A owl drinks alcohol.,Yes,No
11,A peacock drinks alcohol.,Yes,No
12,Does a lion drink vodka?,Yes,No
13,A cuckoos drinks wine.,Yes,No
14,Does a ostrich drink beer?,Yes,No
15,A antelope drinks cola.,Yes,No
16,Does a frog drink vodka?,Yes,No
17,Does a rabbit drink cola?,Yes,No
18,Does a donkey drink bla?,Yes,No
19,A octupus drinks cola.,Yes,No
20,A corgi drinks coffee.,Yes,No
21,A terrier drinks alcohol.,Yes,No
22,Does a crocodile drink wine?,Yes,No
23,A cuckoos drinks alcohol.,Yes,No
24,A dove drinks beer.,Yes,No
25,Does a lizard drink vodka?,Yes,No
26,Does a crab drink bla?,No,No
27,Does a herring drink cola?,Yes,No
28,Does a spider drink alcohol?,Yes,No
29,Does a pelican drink wine?,Yes,No
30,Does a mouse drink vodka?,Yes,No
31,Does a jellyfish drink alcohol?,Yes,No
32,A ass drinks coffee.,Yes,No
33,A lizard drinks coffee.,Yes,No
34,A doberman drinks beer.,Yes,No
35,Does a corgi drink alcohol?,Yes,No
36,A salamander drinks bla.,No,No
37,A cobra drinks vodka.,Yes,No
38,A mamba drinks wine.,Yes,No
39,A crow drinks vodka.,Yes,No
40,Does a mamba drink wine?,Yes,No
41,A moose drinks beer.,Yes,No
42,Does a bison drink coffee?,Yes,No
43,A tuna drinks bla.,No,No
44,Does a boa drink alcohol?,Yes,No
45,Does a elephant drink coffee?,Yes,No
46,Does a rottweiler drink wine?,Yes,No
47,A kangaroo drinks wine.,Yes,No
48,Does a ant drink bla?,No,No
49,Does a bull drink beer?,Yes,No
50,Does a boa drink cola?,Yes,No
51,Does a roaster drink wine?,Yes,No
52,Does a tuna drink wine?,Yes,No
53,A ostrich drinks cola.,Yes,No
54,A frog drinks wine.,No,No
55,A cobra drinks bla.,Yes,No
56,Does a starfish drink alcohol?,Yes,No
57,Does a swan drink beer?,Yes,No
58,A chihuahua drinks coffee.,Yes,No
59,A yak drinks beer.,Yes,No
60,Does a goat drink vodka?,Yes,No
61,A pelican drinks bla.,Yes,No
62,Does a hummingbird drink cola?,Yes,No
63,A caracal drinks beer.,Yes,No
64,A owl drinks wine.,Yes,No
65,A cat drinks cola.,Yes,No
66,A codfish drinks alcohol.,Yes,No
67,A boa drinks wine.,Yes,No
68,Does a salmon drink bla?,Yes,No
69,A cocker spaniel drinks vodka.,Yes,No
70,A crab drinks beer.,Yes,No
71,Does a lobster drink coffee?,Yes,No
72,A camel drinks alcohol.,Yes,No
73,A snail drinks cola.,Yes,No
74,Does a prawn drink cola?,Yes,No
75,A wolf drinks vodka.,Yes,No
76,Does a aardvark drink cola?,Yes,No
77,Does a flamingo drink bla?,Yes,No
78,A gibbon drinks cola.,Yes,No
79,A sheep drinks vodka.,No,No
80,A gar drinks wine.,Yes,No
81,A rottweiler drinks beer.,Yes,No
82,A chihuahua drinks vodka.,Yes,No
83,A bison drinks vodka.,Yes,No
84,Does a quail drink alcohol?,Yes,No
85,Does a terrier drink bla?,No,No
86,Does a yak drink bla?,No,No
87,A hummingbird drinks coffee.,Yes,No
88,Does a pomeranian drink wine?,Yes,No
89,Does a oyster drink bla?,No,No
90,A husky drinks cola.,Yes,No
91,Does a gibbon drink alcohol?,Yes,No
92,A jaguar drinks coffee.,Yes,No
93,Does a gorilla drink cola?,Yes,No
94,A cat drinks wine.,Yes,No
95,A baboon drinks coffee.,Yes,No
96,Does a iguana drink bla?,Yes,No
97,Does a gorilla drink beer?,Yes,No
98,Does a fish drink bla?,Yes,No
99,Does a songbird drink beer?,Yes,No
100,Does a tiger drink bla?,No,No
101,Does a duck drink wine?,Yes,No
102,Does a aardvark drink alcohol?,Yes,No
103,Does a gorilla drink alcohol?,Yes,No
104,A jellyfish drinks vodka.,Yes,No
105,A collie drinks wine.,Yes,No
106,Does a crow drink alcohol?,Yes,No
107,A duck drinks bla.,No,No
108,A doberman drinks vodka.,Yes,No
109,A oyster drinks wine.,Yes,No
110,A piranha drinks vodka.,Yes,No
111,Does a butterfly drink alcohol?,No,No
112,A dog drinks cola.,No,No
113,A rabbit drinks beer.,Yes,No
114,Does a snail drink coffee?,Yes,No
115,A cat drinks coffee.,Yes,No
116,Does a baboon drink cola?,Yes,No
117,Does a duck drink vodka?,Yes,No
118,Does a crow drink wine?,Yes,No
119,A ant drinks vodka.,Yes,No
120,Does a boa drink coffee?,Yes,No
121,Does a donkey drink alcohol?,Yes,No
122,Does a sparrow drink wine?,Yes,No
123,A puma drinks bla.,Yes,No
