,question,label
0,a buri lives in the water.,Yes
1,a shrimp lives underwater.,Yes
2,does a cow have fins?,No
3,does a wolf live in the water?,No
4,a boxer has hair.,Yes
5,does a seabird have a beak?,Yes
6,a codfish lives in the water.,Yes
7,a tarantula has a beak.,No
8,a hummingbird has wings.,Yes
9,a chicken has a beak.,Yes
10,a snake lives underwater.,No
11,a horse has scales.,No
12,does a lion have scales?,No
13,is a wolf capable of flying?,No
14,does a horse fly?,No
15,does a shark live underwater?,Yes
16,a salmon has hair.,No
17,a yak has horns.,Yes
18,does a bear have feathers?,No
19,does a macaw have a beak?,Yes
20,does a elephant live in the water?,No
21,a dog has wings.,No
22,a flamingo has fur.,No
23,is a deer capable of flying?,No
24,can a duck fly?,Yes
25,does a songbird have wings?,Yes
26,does a chihuahua have hair?,Yes
27,does a parrot have wings?,Yes
28,a penguin lives underwater.,No
29,a bull is capable of flying.,No
30,a heron flys.,Yes
31,a dove has a wing.,Yes
32,a sparrow has a beak.,Yes
33,does a rat have a beak?,No
34,does a hyena have fur?,Yes
35,a barracuda lives underwater.,Yes
36,does a pig have horns?,No
37,does a jaguar have fur?,Yes
38,does a sparrow have wings?,Yes
39,a flamingo has horns.,No
40,does a skunk have a beak?,No
41,a tuna has fins.,Yes
42,a stork has a beak.,Yes
43,does a wolf have a beak?,No
44,a tapir has horns.,No
45,a seabird has wings.,Yes
46,a albatrosses flys.,Yes
47,does a buffalo have horns?,Yes
48,does a rabbit have wings?,No
49,does a owl have a wing?,Yes
50,a bluefish lives underwater.,Yes
51,a tarantula has hair.,No
52,does a sheep have feathers?,No
53,does a sheep have a beak?,No
54,a hippopotamus has fur.,No
55,can a elephant fly?,No
56,a rat is capable of flying.,No
57,does a giraffe live underwater?,No
58,does a roaster have hair?,No
59,does a songbird fly?,Yes
60,a buri has fins.,Yes
61,does a eel live underwater?,Yes
62,a starfish has fur.,No
63,does a salmon live underwater?,Yes
64,a flamingo has feathers.,Yes
65,does a peacock have feathers?,Yes
66,a zebra flys.,No
67,does a cow have feathers?,No
68,does a monkey have hair?,Yes
69,a tiger has feathers.,No
70,a caterpillar has fur.,No
71,does a squirrel have hair?,Yes
72,a zebra has hair.,Yes
73,does a markhor have horns?,Yes
74,does a horse have feathers?,No
75,does a octupus have fins?,Yes
76,does a tarantula have fur?,No
77,does a eagle have fur?,No
78,a eagle lives in the water.,No
79,does a dog have a beak?,No
80,a snake has hair.,No
81,a sparrow flys.,Yes
82,does a bull have feathers?,No
83,does a crow have wings?,Yes
84,does a seabird have feathers?,Yes
85,a lion lives in the water.,No
86,a eagle has scales.,No
87,a giraffe has hair.,Yes
88,is a shark capable of flying?,No
89,a jaguar has fur.,Yes
90,does a fox live in the water?,No
91,does a camel have wings?,No
