,question,model_answer,true_answer
0,Does a deer have horns?,Yes,No
1,Are horns part of a addax's body?,Yes,No
2,Horns are part of a goat's body.,No,No
3,Does a antelope have horns?,Yes,No
4,A sheep has horns.,Yes,No
5,A springbox has horns.,No,No
6,Horns are part of a elk's body.,No,No
7,Horns are part of a deer's body.,Yes,No
8,Horns are part of a impala's body.,No,No
9,A mountain goat has horns.,Yes,No
10,Does a yak have horns?,No,No
11,Are horns part of a impala's body?,Yes,No
12,Horns are part of a oryx's body.,Yes,No
13,Are horns part of a sheep's body?,Yes,No
14,A buffalo has horns.,Yes,No
15,A markhor has horns.,No,No
16,Horns are part of a kudu's body.,No,No
17,Horns are part of a cattle's body.,Yes,No
18,A bison has horns.,No,No
19,Horns are part of a wildbeest's body.,No,No
20,Are horns part of a markhor's body?,No,No
21,Does a buffalo have horns?,Yes,No
22,Are horns part of a ibex's body?,Yes,No
23,A antelope has horns.,Yes,No
24,Horns are part of a bison's body.,No,No
25,Are horns part of a bharal's body?,Yes,No
26,Does a elk have horns?,Yes,No
27,Horns are part of a ibex's body.,Yes,No
28,Horns are part of a bharal's body.,Yes,No
29,Does a reindeer have horns?,Yes,No
30,Does a markhor have horns?,No,No
31,A cow has horns.,Yes,No
32,Does a cattle have horns?,Yes,No
33,Does a eland have horns?,No,No
34,Horns are part of a antelope's body.,Yes,No
35,Does a goat have horns?,Yes,No
36,A rhino has horns.,Yes,No
37,Horns are part of a mountain goat's body.,Yes,No
38,Does a mounflon have horns?,Yes,No
39,A kudu has horns.,No,No
40,Are horns part of a cattle's body?,Yes,No
41,Are horns part of a wildbeest's body?,Yes,No
42,A goat has horns.,Yes,No
43,Are horns part of a goat's body?,Yes,No
44,A blackbuck has horns.,Yes,No
45,Are horns part of a mounflon's body?,Yes,No
46,Horns are part of a blackbuck's body.,Yes,No
47,A goat has horns.,Yes,No
48,Horns are part of a mounflon's body.,No,No
49,Does a kudu have horns?,No,No
50,A oryx has horns.,Yes,No
51,Does a springbox have horns?,No,No
52,A wildbeest has horns.,Yes,No
53,Are horns part of a bison's body?,Yes,No
54,Horns are part of a ox's body.,Yes,No
55,Does a impala have horns?,Yes,No
56,Are horns part of a springbox's body?,Yes,No
57,A cattle has horns.,Yes,No
58,Does a oryx have horns?,Yes,No
59,A eland has horns.,No,No
60,A addax has horns.,Yes,No
61,Are horns part of a oryx's body?,Yes,No
62,Does a bison have horns?,No,No
63,Horns are part of a goat's body.,No,No
64,Does a rhino have horns?,Yes,No
65,Does a bharal have horns?,No,No
66,A bharal has horns.,No,No
67,Are horns part of a blackbuck's body?,Yes,No
68,Horns are part of a sheep's body.,Yes,No
69,Are horns part of a bighorn sheep's body?,Yes,No
70,A bighorn sheep has horns.,Yes,No
71,A reindeer has horns.,Yes,No
72,Horns are part of a bighorn sheep's body.,Yes,No
73,Are horns part of a goat's body?,Yes,No
74,Does a ox have horns?,Yes,No
75,Does a mountain goat have horns?,Yes,No
76,A deer has horns.,Yes,No
77,Are horns part of a antelope's body?,Yes,No
78,Are horns part of a reindeer's body?,Yes,No
79,Horns are part of a eland's body.,No,No
80,Are horns part of a moose's body?,Yes,No
81,Are horns part of a rhino's body?,Yes,No
82,A mounflon has horns.,Yes,No
83,Does a cow have horns?,Yes,No
84,A moose has horns.,Yes,No
85,A ox has horns.,Yes,No
86,Are horns part of a mountain goat's body?,Yes,No
87,A impala has horns.,Yes,No
88,Horns are part of a buffalo's body.,No,No
89,Are horns part of a kudu's body?,No,No
90,Are horns part of a cow's body?,Yes,No
91,Are horns part of a ox's body?,Yes,No
92,Does a bighorn sheep have horns?,Yes,No
93,Are horns part of a deer's body?,Yes,No
94,Horns are part of a springbox's body.,No,No
95,Does a sheep have horns?,Yes,No
96,Horns are part of a addax's body.,Yes,No
97,Does a goat have horns?,Yes,No
98,Horns are part of a rhino's body.,Yes,No
99,Are horns part of a buffalo's body?,Yes,No
100,Are horns part of a eland's body?,Yes,No
101,Are horns part of a yak's body?,Yes,No
102,A elk has horns.,Yes,No
103,Does a ibex have horns?,Yes,No
104,Does a moose have horns?,Yes,No
105,Does a blackbuck have horns?,Yes,No
106,A yak has horns.,No,No
107,Horns are part of a reindeer's body.,No,No
108,Horns are part of a markhor's body.,No,No
109,Does a addax have horns?,Yes,No
110,Horns are part of a yak's body.,Yes,No
111,Horns are part of a moose's body.,Yes,No
112,Horns are part of a cow's body.,Yes,No
113,Does a wildbeest have horns?,Yes,No
114,A ibex has horns.,No,No
115,Are horns part of a elk's body?,Yes,No
