,questions,labels
0,Is vegetables organic,1
1,Is currency a toy?,0
2,is fodder outdoors?,1
3,does vessel travel in the water,1
4,does plotter make something?,1
5,is pan used for cooking?,1
6,is client a man,1
7,Does lamp require electricity?,1
8,is honeycomb a meat?,0
9,Is letterhead a color?,0
10,Is undercoating sour?,0
11,Will retainer break if I step on it?,1
12,Is emojis used to describe emotion?,1
13,is contraception soft,1
14,is turn a shelter,0
15,Does sock go on your feet?,1
16,is drug something inside of a house?,1
17,does bus hold more than 10 people?,1
18,Is reviewer something to do with schooling?,0
19,is sidebar long?,1
20,is teaspoonful vegetable,0
21,is placard alive,0
22,does canteen contain water or have water in it?,1
23,is bottom changing always?,0
24,is expo abstract?,0
25,is periods cherished?,0
26,Is cheeseburger solid?,1
27,is cleaner used in a specific part of a house?,1
28,is moviemaker made of wood,0
29,is paddleball small?,1
30,is caterer living?,1
31,is titanic big?,1
32,Does boob have electrons,0
33,Is kimono big?,1
34,Do people use mainframe daily?,1
35,Can you find television in a kitchen?,1
36,is eggplant a plant,1
37,Is rose red?,1
38,Is dad related to law,0
39,Is museum a building?,1
40,Is calligrapher a man?,1
41,Is glimpse part of a person's body?,0
42,Is car a vehicle?,1
43,is weights heavy?,1
44,Is brownies edible?,1
45,is office a workplace?,1
46,Is jouster a concept?,0
47,Is turret heavy?,1
48,is masher living?,0
49,Was redcoat used over 100 years ago? ,1
50,Is writer a technical job?,1
51,do you use key to unlock things,1
52,is expo a person?,0
53,can boathouse beat me ?,0
54,is billionaire a human?,1
55,is axe an animal?,0
56,Is petroleum used as a fuel source?,1
57,Is teenager a famous person?,1
58,is commonwealth dead?,0
59,Is wagonload a plant?,0
60,Is hummer edible?,0
61,Does tepee have a mailbox?,0
62,Is deli a tool that humans use?,0
63,Is weeds green?,1
64,would you give rose as a present,1
65,Is ridge something you can touch?,1
66,Is strudel a snack food?,1
67,Is oxygen something humans need to survive?,1
68,is knuckles pink?,1
69,is trunks a building?,0
70,Can you see heat with the naked eye?,0
71,can you use satin for more than one purpose,1
72,is scumbag small?,0
73,Is bricks dishwasher safe?,0
74,Is spices alive?,0
75,is chiffon an object?,1
76,is tow heavy?,1
77,is microbiologist confrontational?,0
78,Is street a road?,1
79,is light an object,1
80,is reflecting an object,0
81,does giver have a job ?,1
82,Can you pick car up?,0
83,can i usually find art in my home,1
84,can brick be trimmed?,0
85,is toupee made of fabirc?,1
86,is loot a concept,1
87,is wastebasket made of metal?,1
88,is blacktop made from metal?,0
89,Is boardwalk made of wood?,1
90,Is idea a concept?,1
91,is duet underground,0
92,does water need to be refrigerated?,1
93,Is bottom a building?,0
94,is dream a thought?,1
95,is boiler heavy,1
96,is pelt alive?,0
97,Does conditioner have a handle?,0
98,is archbishop a title,1
99,is coil a solid object?\,1
100,is pileup a machine?,0
101,does tusk make noise?,0
102,does caretaker take a lot of talent to make,0
103,Is taillight alive?,0
104,Is umbrella rain catcher?,0
105,Is mural small?,0
106,Is towel bigger than a cow?,0
107,is snapshot alive,0
108,Does bra support anything?,1
109,Is casino a place?,1
110,is lashes related to makeup,1
111,Is bourbon a fruit?,0
112,Can hand fit in your pocket? ,1
113,is allowance a term that applies to the stock market,0
114,Is room something that is related to the medical field?,0
115,is church considered architecture,1
116,is biology related to the sciences?,1
117,is teammate a person,1
118,Is garden an automobile,0
119,Does gnome have to do with a person's body?,0
120,is quartet hard,0
121,Is powder touchable?,1
122,Is yard long?,1
123,Is acre on earth?,1
124,can schoolwork be held?,1
125,is growl tangible?,0
126,Is pyramid found in the US?,0
127,is supercharger a place,0
128,Does dwarf have to do with a person's personality?,0
129,is sunglass a thing,1
130,is lawyer a persons occupation?,1
131,is fuel a machine,0
132,Is handiwork something that artists are known for creating?,1
133,Does villa hold anything?,1
134,is aloe a plant?,1
135,do you see packet everyday?,1
136,Is mirror glass?,1
137,is gurney an occupation,0
138,does caravan have doors?,1
139,Is orphanage an accessory?,0
140,is harpooner something funny?,0
141,is brooder an animal (not including people),0
142,does device fit in your pocket,1
143,Is terminal found indoors?,1
144,Is men a human?,1
145,Is sandblaster man made?,1
146,is knife smaller than a book,1
147,can you fit doorstep in your hand?,0
148,does saddler require a college degree?,0
149,Is hypnotist a specific type of human?,1
150,is florist an occupation ?,1
151,Is featherbed soft?,1
152,Is popular usually found outside?,0
153,Is massage an attack,0
154,is electrician a profession,1
155,is digits perjury?,0
156,Is debt a person?,0
157,Could wood be lifted over the average person's head?,1
158,Is congestion trendy,0
159,Is cave a place?,1
160,Can flowerpot be bought?,1
161,Is bandage solid?,1
162,is parkland the marquee,0
163,is noodle man made? ,1
164,does housemate make noises ?,1
165,is spoon a common eating utensil?,1
166,is ratchet an idea?,0
167,is substance found in the home?,1
168,does guesthouse hold things besides clothes,1
169,Is entertainer their job to entertain others?,1
170,Is seat round?,1
171,is mead a type of drink? ,1
172,Is swindler human?,1
173,is palette alive,0
174,is haze a building,0
175,Is dike on the ground?,1
176,is blip an apparition,0
177,is banana used to make fruit salads?,1
178,Is perspiration a bodily function?,1
179,is crosswalk old?,1
180,Is superstructure bigger than a dog?,1
181,Is fire hydrant a sewer?,0
182,does carnation require special skills to use,0
183,Is connector a solid,1
184,Is shutter furniture?,0
185,Does jupiter come in sizes?,0
186,is iguana a reptile?,1
187,is citadel a building,1
188,is server mostly women who do it?,1
189,does computer have a hard drive,1
190,is blind a noun,1
191,is croissant baked,1
192,does dandelion change color?,0
193,Is ensemble an idea?,0
194,Is grass used with another object?,0
195,is lagoon outside,1
196,Is fruit found on earth?,1
197,Does infield provide shelter?,0
198,is icecap located in a tree?,0
199,is man a mountain?,0
200,Is karate a high paying profession?,0
201,is amulet big,0
202,Is hallucinogen larger than a house?,0
203,Is money used to pay for goods and services?,1
204,Does lamp run on electricity?,1
205,is savannah living,0
206,Is parentheses visible?,1
207,is stump big?,1
208,Can I but thickener at a market?,1
209,Does envelope have a switch?,0
210,Is sister male?,0
211,Is medicine man-made?,1
212,Is precipitation black? ,0
213,is shirt some kind of tool?,0
214,Can mildew move?,1
215,is herpes something people want?,0
216,Is buttonhole used during meals? ,0
217,is stationery part of a house,0
218,is doctor a person,1
219,is food a thing,1
220,is violin round?,0
221,Is mailman a person?,1
222,does vase have wheels,0
223,Is cartoonist biological or living?,1
224,Is vehicle for transportation,1
225,Is pork made from a cow?,1
226,is camisole bigger than a couch?,0
227,Do you use computer for entertainment,1
228,Is pita man made,1
229,does jam come in chocolate flavor ?,0
230,it gravestone a class of things,0
231,does marcher involve a certain age group?,1
232,Is junkyard clothing?,0
233,Is sodium a mineral?,1
234,Is relationship a human?,0
235,Does pilot have to do with math>?,0
236,Is dramatist an animal?,0
237,is tank a man made object? ,1
238,Does lightbulb use electricity?,1
239,is sword inanimate?,1
240,Is person alive?,1
241,is slut related to entertainment?,0
242,is biologist human?,1
243,can detonator break,1
