,question,label
0,being ugly causes desire of change appearance,Yes
1,is mountain large,Yes
2,does ghostbuster involve the supernatural,Yes
3,is processor used to make light,No
4,oboe is usually used for playing in orchestra,Yes
5,driveway is usually used for garage sale,Yes
6,is record found inside a house,Yes
7,melanesia is part of gigabyte,No
8,is caster furniture ,No
9,stephanion is part of picosecond,No
10,ball is capable of roll down stairs,Yes
11,food is usually used for sustenance,Yes
12,namur is part of belgium,Yes
13,is byte shiny,No
14,paper is capable of burn,Yes
15,uttar pradesh is part of india,Yes
16,is excavator used for construction work,Yes
17,is care an idea or concept,Yes
18,is phrasebook alive,No
19,is model a living thing,Yes
20,is teaspoonful free,No
21,does storehouse have a restroom,Yes
22,does shovel require man power to use,Yes
23,is water liquid at room temperature,Yes
24,going jogging usually causes get out of breath,Yes
25,ligurian sea is part of mediterranean,Yes
26,detroit river is part of michigan,Yes
27,is truck a vehicle,Yes
28,can bamboo be used to harm someone,Yes
29,flirting usually causes sex,Yes
30,notepad is usually used for meditate with,No
31,is whittler a liquid,No
32,is nose on a human body,Yes
33,being dirty causes desire of play frisbee,No
34,is dartboard found in the bathroom,No
35,statue is usually located at park,Yes
36,deserts has a property of dry,Yes
37,is license made of wood,No
38,is caretaker made of metal,No
39,walking has a subevent of swing hips,Yes
40,can pistol be used as a weapon,Yes
41,can pillbox fit in your hand,Yes
42,does eyedropper need water,Yes
43,is saber smaller than a car,Yes
44,is midterm used for a profession,Yes
45,ticket box is usually used for get beer from keg,No
46,is headmistress considered blue collar,No
47,is equipment heavy,Yes
48,washing clothes usually causes orgasm,No
49,is coin a form of money,Yes
50,does squad involve sports,Yes
51,excusable is the opposite of inexcusable,Yes
52,is camera a vehicle,No
53,child does not desire have sex,Yes
54,is dragon very small,No
55,discrimination causes desire of change society,Yes
56,marble is usually located at work,No
57,children is capable of surprise parents,Yes
58,locomotive is usually used for power,Yes
59,person is capable of everywhere,No
60,can you buy experience at the store,No
61,plant is capable of bloom,Yes
62,is stateroom part of a tour,No
63,supermarket is usually used for read,No
64,cook meal has a prerequisite of put down coaster,No
65,kurdistan is part of electric hammer,No
66,is pole made of metal,Yes
67,is sorbet made out of ice,Yes
68,is pleat glass,No
69,gomorrah is part of dinghy,No
70,gospel is part of comet,No
71,is trash popular,No
72,is intestine made of glass,No
73,does daybook drive,No
74,humans is usually located at country,Yes
75,does tv make sound,Yes
76,chartres is part of france,Yes
77,procreate has a prerequisite of find mate,Yes
78,getting drunk usually causes fight,No
79,dijon is part of france,Yes
80,is cupcake healthy,No
81,does toy use electricity,Yes
82,fixation is part of plastination,Yes
83,living has a subevent of catching,No
84,is walking illegal,No
85,go see play has a subevent of entertainment,Yes
86,is yoke a place,No
87,lever is part of lever lock,Yes
88,pay by check has a prerequisite of have identification,Yes
89,is overeater female,Yes
90,is waterfall a person place or thing,Yes
91,is fruit used to put together or take apart something,No
92,do you see road often,Yes
93,getting wet usually causes cold,Yes
94,is grail a place,No
95,is slammer alive,No
96,person is capable of wash dishes,Yes
97,catwalk has a property of narrow,Yes
98,splat is part of straight chair,Yes
99,beanbag chair is usually located at living room,Yes
100,is batwing related to science,Yes
101,bees is capable of make honey,Yes
102,approach path is part of traffic pattern,Yes
103,is sushi furniture of some sort,No
104,is sundown a certain time of day,Yes
105,eating vegetables usually causes crumbs,No
106,slide is usually located at home,No
107,waiters is capable of battle for supremacy,No
108,machine is usually used for pop popcorn,Yes
109,road kill is usually located at cabinet,No
110,could you find gun in a home,Yes
111,does machinery send fax,Yes
112,is tenderloin made of wood,No
113,is man cotton,No
114,is neckerchief a sports equipment,No
115,paying by credit card is usually used for roll,No
116,is school something media talk about,Yes
117,is airplane larger than a car,Yes
118,huddersfield is usually located at forest,No
119,do you use knife in the kitchen,Yes
120,is love something that is abstract,Yes
121,have party has a subevent of guests open party favors,Yes
122,using computer has a subevent of process payroll,Yes
123,is machetes made of compressed sand,No
124,is bomb alive,No
125,is tablet made of wood,No
126,cake is usually used for sleeping,No
127,road kill is usually located at street,Yes
128,discovering truth usually causes feeling inspired,No
129,shoe store is usually located at mall,Yes
130,can syllabus involve more than one person,Yes
131,does book expire,No
132,clinch is part of nail,Yes
133,is manicotti alive,No
134,is silverware found inside homes,Yes
135,purace is part of colombia,Yes
136,bogeyman is usually located at garage,No
137,go somewhere has a last subevent of arrive there,Yes
138,is mortar a solid,Yes
139,does woman cook things,Yes
140,place to dive is usually located at swimming pool,Yes
141,does homelessness make ones life easier,No
142,marston moor is part of english civil war,Yes
143,letters from friends is usually located at mail box,Yes
144,is pomegranate a specific type of tree like oak,No
145,is bar located on the ground,Yes
146,does spinout involve weapons,No
147,demineralization is part of osteomalacia,Yes
148,is bellboy alive,Yes
149,neck is usually located at bed,No
150,is flower found in nature,Yes
151,does electromagnet hold water,No
152,is train larger than a normal 3 bedroom house,Yes
153,is stepparent a relationship,Yes
154,pectoral girdle is part of wash,No
155,can you throw hand ,No
156,is bed something youd have in the kitchen,No
157,is bedspring made out of metal,Yes
158,eggs has a property of high in cholesterol,Yes
159,cornwall is part of kurdistan,No
160,is guitar expensive,Yes
161,is hem clothing,Yes
162,doctor office is usually used for keeping food in,No
163,is wolverine an adjective,No
164,is menthol green,Yes
165,cornell university is part of new york,Yes
166,eat quickly has a subevent of riding elevators,No
167,get divorce is motivated by a goal of communicate with,No
168,is privates man made,No
169,is sanitizer a job,No
170,going on strike has a subevent of prices go up,Yes
171,test strength has a prerequisite of get sleigh,No
172,is crust something most people have at home,Yes
173,old is distinct from vowel,No
174,is bible religious focused,Yes
175,relax has a prerequisite of sit in quiet room,Yes
176,does barricuda breathe,Yes
177,is compost made of cloth,No
178,is worker an occupation,Yes
179,reach advantage has a prerequisite of work hard,Yes
180,prescott is part of arizona,Yes
181,is excretion sold at stores,No
182,drill hole has a prerequisite of thought,No
183,conceive entails copulate,Yes
184,parachute entails move,No
185,person desires have good memories,Yes
186,go on stage has a last subevent of park,No
187,people desires make difference,No
188,illness is usually located at closet,No
189,delphi is part of mind,No
190,carpet is usually located at desktop,No
191,make patchwork quilt has a prerequisite of knew how to sew,Yes
192,convergent thinking is part of relay,No
193,is tea bad for your health ,No
194,is cheesecloth able to fit in your hand,Yes
195,does locksmith involve bodywork,No
196,hayloft is part of window frame,No
197,speakers is usually located at conference,Yes
198,buying presents usually causes happiness,Yes
199,walk around lake has a prerequisite of find path,Yes
200,is shoeshiner a human,Yes
201,murder has a property of wrong,Yes
202,tupungato is part of andes,Yes
203,mexican restaurant is usually used for drink tequila,Yes
204,cap is part of fungus,Yes
205,is slicer an everyday item,Yes
206,is antennae at walmart,Yes
207,whore is part of tennessee,No
208,get money from has a subevent of ask,Yes
209,massif central is part of france,Yes
210,file is usually used for polish,Yes
211,walking around lake has a prerequisite of copulate,No
212,clean house has a subevent of pay attention,No
213,library program is part of arrow,No
214,hearing music has a subevent of tap foot to beat,Yes
215,weed garden has a prerequisite of pull up weeds,Yes
216,is maize an appliance,No
217,reading newspaper has a subevent of hide evidence,No
218,is practitioner a hospital job,Yes
219,statistical method is part of cardiac monitor,No
220,is watchband larger than a person,No
221,phillips screwdriver is usually used for tighten phillips head screw,Yes
222,relax is motivated by a goal of how money earned,No
223,can you buy isle at walmart,No
224,is oxygen liquid,No
225,bulb is usually used for bloom,Yes
226,radio city music hall is usually located at new york city,Yes
227,go to restaurant has a subevent of sweat,No
228,is icicle alive,No
